,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order,MAE,MAPE,MASE,MSE,RMSLE,RMSSE,SMAPE,WAPE
0,PatchTST,-0.5936396202206327,-0.6300578854126585,0.18663740158081055,0.09876275062561035,67.36538481712341,11,-0.414648198935782,-0.4441377027916002,-1.2288402361604323,-0.35240799869569694,-0.251333912154401,-1.378025597036386,-0.3865785406614652,-0.3812478296612891
1,WeightedEnsemble,-0.6081926405627139,-0.5935013063233784,2.3865318298339844,2.3799490928649902,1.0863816738128662,13,-0.4184255382725241,-0.41317611024742434,-1.208566469658177,-0.3698982880346466,-0.25576381844107954,-1.3759335296797108,-0.39279185619961926,-0.3847209001526677
2,ChronosFineTuned[bolt_small],-0.6226073089630744,-0.6678240975458005,0.9782302379608154,0.05445432662963867,71.38426995277405,8,-0.42085568171142307,-0.39745393977992205,-1.1839038399629573,-0.3876398611742412,-0.2626730615026397,-1.3439942077171023,-0.3901911006691313,-0.38695529286008506
3,DeepAR,-0.6303777454842641,-0.64789475390528,0.548774242401123,0.4472205638885498,247.15684819221497,10,-0.42655837516679806,-0.41221437154630386,-1.245983108859921,-0.39737610200182355,-0.26561361985702625,-1.4334074101209118,-0.40080250083498953,-0.39219862807452804
4,NPTS,-0.6354693102803058,-0.671334247236312,0.9115784168243408,3.804788827896118,0.030435562133789062,4,-0.4636161779835391,-0.5474418745590737,-1.2951515037074595,-0.4038212443081276,-0.27198484442404586,-1.3906717678004883,-0.42822688839077894,-0.426271384044913
5,TiDE,-0.6458838650255071,-0.6321848673854735,0.2710087299346924,0.12108278274536133,145.23023533821106,12,-0.4491123887747832,-0.44554398370571746,-1.2809459877040366,-0.41716596710028747,-0.27499829141425775,-1.4358615665280061,-0.4203782000268384,-0.4129358910368766
6,DynamicOptimizedTheta,-0.6460195305241837,-0.8344477618950431,0.18582892417907715,55.86621809005737,0.0973501205444336,5,-0.4648359684645141,-0.4864678972510657,-1.343571043295836,-0.4173412338186867,-0.28422672354325285,-1.4496738789402908,-0.4434624383169885,-0.4273929190587073
7,ChronosZeroShot[bolt_base],-0.6467686464384775,-0.6963537377705616,1.1792027950286865,1.7269375324249268,0.017070531845092773,7,-0.44048606543169344,-0.42358938474679153,-1.2632259289841428,-0.41830968201586033,-0.28256279653166916,-1.4365516332022588,-0.4217688897218807,-0.405004427543365
8,TemporalFusionTransformer,-0.6473552880865335,-0.6097762498194857,0.11748695373535156,0.18344998359680176,129.52127361297607,9,-0.4388800053976078,-0.39372651753944377,-1.2521942325193725,-0.41906886901359885,-0.27964099277555826,-1.4401726631548872,-0.4222444907066726,-0.4035277374145464
9,RecursiveTabular,-0.6652380281765856,-0.8568386205770097,33.093148946762085,16.123785972595215,111.98382496833801,2,-0.47867778309793385,-0.5708154196610304,-1.4022025785882648,-0.44254163413227166,-0.28854637483002576,-1.4958855720771989,-0.44445763301661656,-0.44011976027279986
10,AutoETS,-0.6841483121530163,-1.2705437529660784,1.3554954528808594,5.54732608795166,0.09566068649291992,6,-0.48808570641529064,-0.5552037418704436,-1.45160796216014,-0.468058913021821,-0.30048972176135025,-1.601110731797924,-0.4503640370552814,-0.4487698650015017
11,DirectTabular,-0.7305331063620766,-0.7043922271923064,0.8992419242858887,0.37079882621765137,147.5551323890686,3,-0.5325247090999727,-0.5930705982384578,-1.4894886728132881,-0.5336786194910251,-0.3172384144604646,-1.5718118761676494,-0.48819346079195935,-0.48962925705802224
12,SeasonalNaive,-0.753259088305761,-0.8934171406699104,0.060150146484375,6.8932294845581055,0.028284072875976562,1,-0.5340869341563785,-0.5855381268424819,-1.5177600894458234,-0.5673992541152263,-0.32115117705026824,-1.6266691979606076,-0.4809961057440583,-0.4910656431649095
