,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order,MAE,MAPE,MASE,MSE,RMSLE,RMSSE,SMAPE,WAPE
0,DeepAR,-0.6048426265157468,-0.5995099209655037,0.4908137321472168,0.39931678771972656,242.99742937088013,10,-0.39646642348335365,-0.38967724539227055,-1.1809906980801692,-0.3658346028504672,-0.24761627534537475,-1.3973590956409059,-0.36903828481137974,-0.3586764283611267
1,WeightedEnsemble,-0.6151329335733426,-0.543053363217233,3.1495442390441895,4.834025859832764,1.146169662475586,13,-0.4129675060004274,-0.45863285275722926,-1.2319418709718335,-0.3783885259665463,-0.2569677075401253,-1.4174560598537858,-0.3798974455294489,-0.3736046769863593
2,PatchTST,-0.6286510309114088,-0.5708045329331053,0.16089081764221191,0.10458827018737793,90.5809679031372,11,-0.42783529502020173,-0.4544282203396632,-1.2795736782198053,-0.3952021186659771,-0.26082615937690035,-1.4381559250048472,-0.39023398874436066,-0.38705531277131705
3,TemporalFusionTransformer,-0.6345668578015132,-0.5698127807604576,0.12399935722351074,0.05539560317993164,134.2836902141571,9,-0.42186712206669863,-0.39854207594652463,-1.2720757202994015,-0.4026750970200859,-0.2706219498843335,-1.4974262291965545,-0.4124177217894099,-0.38165600823501794
4,ChronosFineTuned[bolt_small],-0.6417477576435385,-0.5892527264438496,0.9166934490203857,0.05218648910522461,67.90278339385986,8,-0.43660887853250585,-0.43740169583081073,-1.277330350028933,-0.41184018444050985,-0.26463741493813187,-1.4339117745777474,-0.399118854916643,-0.3949926245125557
5,NPTS,-0.6497707572521848,-0.6468893847318236,1.1666347980499268,2.9982640743255615,0.0365445613861084,4,-0.4677741739552964,-0.5692043128824884,-1.3360608490235582,-0.4222020369800777,-0.27714039570622606,-1.4485206016566956,-0.4283275234628631,-0.4231873370757376
6,TiDE,-0.6523146250997213,-0.5977618826001256,0.2875814437866211,0.14094018936157227,148.390230178833,12,-0.445080261231772,-0.4533919521437353,-1.3399102128860643,-0.42551437011898996,-0.2755826426184042,-1.546999510851337,-0.41912539950627037,-0.4026565403194906
7,ChronosZeroShot[bolt_base],-0.666824888711845,-0.6249356471024873,0.922142744064331,2.3094451427459717,0.03127241134643555,7,-0.44627314070397145,-0.440827251249487,-1.3104735969226227,-0.44465543220556447,-0.2725334164031309,-1.4747289169100186,-0.4128880815194136,-0.40373571808388903
8,SeasonalNaive,-0.7188838057307212,-0.8090317732369353,0.11490583419799805,7.3530848026275635,0.03387618064880371,1,-0.49214285714285716,-0.5080291465489906,-1.4494525607725635,-0.5167939261418852,-0.2964726146306909,-1.616244684828845,-0.44523062480560827,-0.44523327017843095
9,DynamicOptimizedTheta,-0.7417001281911647,-0.709825256590863,0.21875262260437012,63.83828091621399,0.1051023006439209,5,-0.48005016495723524,-0.4869785080916764,-1.4237469011866384,-0.5501190801587902,-0.2933816381901352,-1.6410276209050891,-0.42346965013619653,-0.4342932172874413
10,RecursiveTabular,-0.7437501322949662,-0.7615653137568343,26.322669506072998,12.398377895355225,117.85870242118835,2,-0.5200494562609319,-0.6488652760643433,-1.50167723551755,-0.5531642592887798,-0.31870689547272824,-1.6019604400646028,-0.4722345861224247,-0.47047989563395853
11,AutoETS,-0.7665962971128994,-0.8445456621605154,1.883941888809204,4.264841556549072,0.1181173324584961,6,-0.5022705469489005,-0.536761993871666,-1.5063055619043704,-0.5876698827472089,-0.30351273810767576,-1.7309589228747708,-0.4293934829896382,-0.4543956188466115
12,DirectTabular,-0.8512579847896241,-0.6646589416611238,0.969536542892456,0.40920042991638184,151.42033624649048,3,-0.5718838183938068,-0.7803804826509314,-1.6106630574788268,-0.724640156668092,-0.3488340270084383,-1.745301178999089,-0.48715329838099436,-0.5173735612131255
