,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order,MAE,MAPE,MASE,MSE,RMSLE,RMSSE,SMAPE,WAPE
0,WeightedEnsemble,-0.17920204752776617,-0.2210189575613351,6.597215890884399,16.555765628814697,1.3924744129180908,13,-0.11246540021575342,-0.11403562173264134,-0.33290713973567954,-0.03211337383814376,-0.0764949760884173,-0.4118942378138041,-0.11453570175755418,-0.10919270703378495
1,ChronosFineTuned[bolt_small],-0.1804934304098161,-0.22285891812623665,1.7329201698303223,0.1911754608154297,71.64395451545715,8,-0.11196314294479251,-0.11001163740018224,-0.33118699804323365,-0.03257787842110313,-0.07674100519543077,-0.41134395606180296,-0.11254128436430054,-0.10870506522627425
2,AutoETS,-0.18557975445723493,-0.24128157190405025,32.68763494491577,28.992830753326416,0.6720106601715088,6,-0.11702594510671327,-0.11461549422781281,-0.3461988506367546,-0.03443984526440761,-0.07849324318170883,-0.4238729534687907,-0.11509322688585354,-0.11362054209450302
3,ChronosZeroShot[bolt_base],-0.18576431206367056,-0.2378862315278519,1.4550864696502686,3.8129990100860596,0.021469831466674805,7,-0.11692007795807823,-0.11508129751832082,-0.34356162042525273,-0.03450837963648878,-0.07904708912209736,-0.418972076737438,-0.117556681985705,-0.11351775563286032
4,DynamicOptimizedTheta,-0.1863933994904262,-0.2425560797486811,2.23519229888916,88.2018084526062,0.7728848457336426,5,-0.11687882538156089,-0.11509462244018173,-0.34527525726790215,-0.034742499373597614,-0.07911005004347957,-0.4228587610583798,-0.11590836547770572,-0.1134777034879926
5,DeepAR,-0.19148404649156195,-0.24621220155901358,1.124389886856079,0.8265833854675293,175.73550271987915,10,-0.11800571651615167,-0.11475579281250617,-0.35000782021919646,-0.036666140060782657,-0.08162492480196608,-0.4362011546126823,-0.11936237471448247,-0.11457180259120377
6,TemporalFusionTransformer,-0.1931568098240743,-0.23891993697845515,0.6993041038513184,0.5841264724731445,159.08929228782654,9,-0.12062728076757438,-0.11858112970861777,-0.36061610288683293,-0.03730955318141361,-0.08375019008905146,-0.45561821477203596,-0.12251974520008413,-0.11711708048757627
7,TiDE,-0.1934402760707372,-0.2403694455899578,1.0897514820098877,1.4634666442871094,452.9938623905182,12,-0.12002080886016514,-0.11923613524868518,-0.3559991409828517,-0.03741914040632302,-0.08376199497336703,-0.4455915593156223,-0.11988803117510344,-0.1165282566432391
8,PatchTST,-0.20455243135727197,-0.2595007501004138,0.48622918128967285,0.4556748867034912,62.31593346595764,11,-0.12460741432740452,-0.12155687191358615,-0.37080589739464703,-0.04184169717417146,-0.0887024234399443,-0.472190239393541,-0.1252650749250686,-0.12098139392904474
9,RecursiveTabular,-0.21977746833780842,-0.29214645475048495,2.350407361984253,1.091397762298584,315.90269804000854,2,-0.1426773859085136,-0.14838447930993148,-0.41804959762820565,-0.048302135588976385,-0.09488616489600696,-0.4838148911918164,-0.14724177609846276,-0.13852553736497838
10,DirectTabular,-0.24917636007506738,-0.29213469938092873,1.0783474445343018,0.6649692058563232,329.4555752277374,3,-0.166533544686585,-0.20554393317278633,-0.4754938899677405,-0.062088858420259636,-0.11451655271571318,-0.5331904705040473,-0.17574656588092535,-0.16168749252103648
11,SeasonalNaive,-0.543966061596612,-0.716320990680359,1.1953294277191162,25.901519775390625,0.561511754989624,1,-0.3696059577677225,-0.37492526437319373,-1.0299291470724468,-0.2958990761689291,-0.22921753287927754,-1.0919269170321577,-0.3483399209939899,-0.3588505885992418
12,NPTS,-0.596585755845758,-0.6857928870890251,1.9882051944732666,13.65202784538269,0.5659105777740479,4,-0.45048923453996986,-0.5892265758644558,-1.2303815480137552,-0.35591456407805433,-0.26845976980939307,-1.2048669175991717,-0.4324236869484627,-0.43738019795093147
