,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order,MAE,MAPE,MASE,MSE,RMSLE,RMSSE,SMAPE,WAPE
0,WeightedEnsemble,-0.12426183258525783,-0.16357800926549523,71.50617623329163,183.46693801879883,1.2337191104888916,13,-0.08138101013528622,-0.08258628641603186,-0.24502090846685232,-0.015441003037446645,-0.053174090370705876,-0.2988889944542964,-0.08285817521679169,-0.07887088157591862
1,ChronosFineTuned[bolt_small],-0.12599661474799287,-0.16658623712194795,1.2349011898040771,0.3756115436553955,69.01889872550964,8,-0.0827007269203447,-0.08297709518019834,-0.24820967683090214,-0.015875146927954133,-0.054173725072535026,-0.29898999223478195,-0.0843723552356182,-0.08014989281078863
2,AutoETS,-0.13082816298554192,-0.17436854673737331,55.650094509124756,55.38540601730347,1.4910104274749756,6,-0.08482114671418935,-0.08342463476235835,-0.25414838951327773,-0.01711600823017152,-0.055161323022966745,-0.3079424419457872,-0.08369558541355857,-0.08220491004605689
3,ChronosZeroShot[bolt_base],-0.13214649833125056,-0.17640410120191333,1.6721765995025635,2.3920795917510986,0.008661031723022461,7,-0.08609829852262865,-0.08572360985933684,-0.2564945692517121,-0.017462697021211206,-0.05636845741831678,-0.30901449790688257,-0.0872099165556293,-0.08344266918508005
4,DynamicOptimizedTheta,-0.13224258931358143,-0.17552196470329115,4.042769908905029,104.65400624275208,1.6361558437347412,5,-0.08541731578540347,-0.08443114034599863,-0.2558585794544447,-0.01748810242836056,-0.05581248157562115,-0.3099696671876072,-0.08487269717273178,-0.08278269078552901
5,TemporalFusionTransformer,-0.13521350453114792,-0.1774974166289869,1.3401672840118408,1.1512937545776367,179.86781454086304,9,-0.08532636428343036,-0.08449188368999809,-0.258799281847221,-0.01828269180759476,-0.05887173696484092,-0.33012373646640125,-0.08714644586376002,-0.08269454460585703
6,TiDE,-0.13609007525068698,-0.17787073214914292,1.9528205394744873,1.8616366386413574,536.2757151126862,12,-0.08647282100790998,-0.08555040838181356,-0.2623931099124587,-0.018520508581737646,-0.058680912250893134,-0.33388966227744254,-0.08648834378717686,-0.08380563984045822
7,DeepAR,-0.1391165965599792,-0.19122228670693803,1.756455421447754,1.4664843082427979,184.8495581150055,10,-0.08905235200182988,-0.08889432329975991,-0.269373106382349,-0.019353427438432016,-0.060201378669461174,-0.33247654354544,-0.09180500684679124,-0.08630560737839682
8,PatchTST,-0.15973200760303974,-0.20791134391569366,0.8658313751220703,0.7862935066223145,47.07065939903259,11,-0.09829370843034073,-0.09345099903747157,-0.2921618168435136,-0.025514314252897546,-0.06815434546392232,-0.36904505273227833,-0.09926409866767862,-0.09526192196901528
9,DirectTabular,-0.15976512106846835,-0.21379443011601493,1.265592336654663,0.8578572273254395,303.55817580223083,3,-0.10900113804367431,-0.12176745201552631,-0.3196375565147086,-0.025524893910022353,-0.07055575894741184,-0.3680487040341151,-0.11468412270804738,-0.10563908995466488
10,RecursiveTabular,-0.16914137821700143,-0.21671205859088358,1.5679914951324463,0.821263313293457,509.4955348968506,2,-0.11119045689089126,-0.1151791557775359,-0.33047850272828655,-0.028608805825146723,-0.07064672176568301,-0.3828378666157824,-0.11343194936277805,-0.10776088111016571
11,SeasonalNaive,-0.542873804160438,-0.7160324930995732,2.239565134048462,22.26709246635437,1.3546638488769531,1,-0.36920900800297785,-0.37409360244198453,-1.0276720648103497,-0.29471196724362553,-0.2290266035098117,-1.0843693618273509,-0.34801232872475196,-0.3578210678210678
12,NPTS,-0.5941227874317659,-0.6862144803507084,2.7690868377685547,15.967783689498901,1.3320515155792236,4,-0.4480665363856318,-0.5832113344953571,-1.2239828954088319,-0.3529818865456914,-0.2668651826087398,-1.197237008703693,-0.4296650679072358,-0.4342463023088023
