,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order,MAE,MAPE,MASE,MSE,RMSLE,RMSSE,SMAPE,WAPE
0,DeepAR,-0.44888534857886503,-0.625663283488401,0.564033031463623,0.33240365982055664,236.42995262145996,10,-0.3069157610949979,-0.34391996735203806,-0.9114747387350179,-0.20149805616876915,-0.19482269596609525,-1.0575618091064354,-0.3135699162565705,-0.29637181386615863
1,PatchTST,-0.4613482155308758,-0.6132204576735832,0.17570972442626953,0.1396176815032959,47.28827714920044,11,-0.32525233397292985,-0.3772942418259918,-0.9646879283510703,-0.21284217597352342,-0.2052865379379938,-1.0852013739768065,-0.3282763296041497,-0.3140784423707782
2,ChronosFineTuned[bolt_small],-0.4716844135069579,-0.6241884746411017,1.150080680847168,0.044252872467041016,69.58961129188538,8,-0.3188179494829551,-0.33536494204841827,-0.9191483660878098,-0.22248618594540281,-0.2040499777492584,-1.0562628199320587,-0.31709481719227156,-0.3078651081464213
3,WeightedEnsemble,-0.48418215392055053,-0.5874442328565516,5.4221789836883545,17.48702049255371,1.1880683898925781,13,-0.33427765774557694,-0.38953281571226994,-0.9723983576245535,-0.23443235817514366,-0.2123796297686372,-1.1098192579101025,-0.33281389171971665,-0.32279370537221413
4,TemporalFusionTransformer,-0.4898450071987037,-0.6257794709427446,0.15404605865478516,0.08098459243774414,195.72601675987244,9,-0.33359069173456285,-0.34078917755302174,-0.9918152098258906,-0.2399481310774981,-0.22279236399827368,-1.1731092048091876,-0.35041995374120155,-0.3221303397567688
5,DynamicOptimizedTheta,-0.5130375056553853,-0.7319798426451146,0.210906982421875,82.49739623069763,0.1359999179840088,5,-0.34772722638439546,-0.3740316032676759,-1.010031916935127,-0.2632074822090995,-0.22034097808577777,-1.1253139363713793,-0.33320691746005565,-0.33578122037953323
6,TiDE,-0.5149008181181368,-0.6650884200005274,0.2670302391052246,0.19283056259155273,182.66459441184998,12,-0.3549016195628465,-0.3907612495073484,-1.0533935700294677,-0.2651228524987266,-0.2306635636639308,-1.2027552100882448,-0.36354561883199804,-0.3427091406404559
7,AutoETS,-0.5379678301146307,-0.7418174436365955,5.26059103012085,3.6208677291870117,0.15314769744873047,6,-0.36408376179140317,-0.4012396409148946,-1.0604913882840588,-0.2894093862382441,-0.22919034706372016,-1.1918171907730197,-0.3440738357475695,-0.3515758346731943
8,RecursiveTabular,-0.5422501262151189,-0.7131187802285391,14.70783543586731,7.060688734054565,149.0161099433899,2,-0.37394929384583964,-0.4393815023352447,-1.081700129743284,-0.2940351993803124,-0.2451955125528832,-1.2029337242930178,-0.37945956455584134,-0.36110244099440914
9,ChronosZeroShot[bolt_base],-0.606425221659558,-0.6777817560741817,0.8475115299224854,2.4865033626556396,0.02076888084411621,7,-0.3498114384201012,-0.3520814012855237,-0.9928299589933459,-0.3677515494648441,-0.22410243538093616,-1.270423705126833,-0.32467325447044343,-0.33779383028689014
10,NPTS,-0.6130483453968861,-0.6796432093175736,1.38743257522583,13.751688480377197,0.06835794448852539,4,-0.45805013157894736,-0.5819279875147642,-1.2755463493699304,-0.37582827379385975,-0.2721671362146772,-1.3137648785420775,-0.4355007358093909,-0.44231403383570894
11,SeasonalNaive,-0.6458406903938626,-0.8369092312810922,0.16902470588684082,10.386470794677734,0.0589604377746582,1,-0.4432960526315789,-0.48265862990986097,-1.2793522857922226,-0.4171101973684211,-0.2737194129689298,-1.4152577320042081,-0.413562617058114,-0.4280668243605245
12,DirectTabular,-0.7017341413642038,-0.6960276949215038,0.8563852310180664,0.4587392807006836,183.07037830352783,3,-0.49597757513402846,-0.6418025239778453,-1.3626028689666199,-0.49243080515615634,-0.3038522415677214,-1.4297156553771002,-0.45052068234715875,-0.47893849783072184
