,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order,MAE,MAPE,MASE,MSE,RMSLE,RMSSE,SMAPE,WAPE
0,DeepAR,-0.5804091758027884,-0.7041174062978257,0.48583030700683594,0.4092416763305664,249.68305349349976,10,-0.41681733397842663,-0.512907365647291,-1.2684530613745413,-0.33687481135607217,-0.24800293112590976,-1.4045138669339077,-0.3933320508389661,-0.3858257983093504
1,PatchTST,-0.6056142605210991,-0.6884908038084632,0.1519167423248291,0.1068580150604248,44.79867649078369,11,-0.4215342975286691,-0.4774829807821585,-1.2626328186830358,-0.3667686325465177,-0.25552665054092194,-1.424265066748114,-0.3986966216996257,-0.39019204241440625
2,ChronosFineTuned[bolt_small],-0.6056478981533999,-0.7261495308216515,1.0090763568878174,0.05524444580078125,72.87337851524353,8,-0.41186472458284284,-0.42019177955025183,-1.1878180620319074,-0.3668093765376311,-0.24910636959267565,-1.3708580780836914,-0.38260156824481045,-0.3812414292872492
3,WeightedEnsemble,-0.6376434417586098,-0.6260601005318426,3.8721189498901367,10.272629261016846,1.1057119369506836,13,-0.4532499996220239,-0.5207436420946847,-1.3166944682258692,-0.4065891588177656,-0.2670895727396322,-1.465491312999856,-0.4183674373511139,-0.4195495932684297
4,TemporalFusionTransformer,-0.6404415395123364,-0.6885338330245533,0.11732673645019531,0.05163931846618652,170.5183596611023,9,-0.439238209942492,-0.44767359287805764,-1.2910762460555782,-0.41016536553293154,-0.2658351206320627,-1.4934298320123993,-0.4117734075930394,-0.40657961937783355
5,NPTS,-0.6573164895922188,-0.673983801796335,0.9259040355682373,4.461829900741577,0.03847169876098633,4,-0.46850838414634144,-0.5512891388936623,-1.3301340252922575,-0.4320649674898374,-0.2751424372074357,-1.4688661427299559,-0.42935060963229016,-0.4336734741872366
6,TiDE,-0.6590358949583359,-0.704027767429073,0.29219818115234375,0.13539338111877441,144.26917243003845,12,-0.447812355287161,-0.464966411006258,-1.307155378875894,-0.43432831084353474,-0.2724007541930101,-1.520397781283643,-0.4095504995710144,-0.41451625301264905
7,RecursiveTabular,-0.7165053320385408,-0.948368736861575,30.229418992996216,14.36199951171875,111.699782371521,2,-0.5185001449169575,-0.6200006826229297,-1.4981593338301569,-0.5133798908396596,-0.3181591077278832,-1.5775224793247216,-0.4953470073078672,-0.47994820759170514
8,DynamicOptimizedTheta,-0.7262358544153399,-0.807406704670174,0.27530336380004883,65.59295988082886,0.10215377807617188,5,-0.4994660262959776,-0.5562533450650172,-1.4231335601434334,-0.5274185162383788,-0.3024185039715727,-1.5673561745433726,-0.43890458310213554,-0.46232932897655965
9,DirectTabular,-0.755373091914216,-0.6983263367211788,0.8939652442932129,0.40778017044067383,149.34743809700012,3,-0.5515189719300081,-0.6126380124163278,-1.5559469120964569,-0.5705885079880426,-0.3204357089643706,-1.6563811082258688,-0.49419081438430845,-0.5105119923795228
10,SeasonalNaive,-0.7619174437279348,-0.8503986541234407,0.1286451816558838,18.096203088760376,0.03128409385681152,1,-0.5294563008130082,-0.5628406561942133,-1.5466412106140375,-0.5805181910569106,-0.3200022049523646,-1.7284378250307095,-0.4809942572776278,-0.4900897426249249
11,AutoETS,-0.7758271327790428,-0.7927093205121047,1.773970365524292,5.244521856307983,0.09239387512207031,6,-0.52508772723772,-0.6178646638558324,-1.502659189655439,-0.6019077399561504,-0.31804700548988846,-1.6784569567892211,-0.44254513962175407,-0.4860459847248612
12,ChronosZeroShot[bolt_base],-0.8316634945280473,-0.767145097262309,0.8481357097625732,4.955886602401733,0.006363391876220703,7,-0.4776131396283343,-0.47604175859987374,-1.3514443078601759,-0.6916641681306034,-0.2867171679605112,-1.7431111057100652,-0.40039755821349693,-0.4421012656102131
