,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order,MAE,MAPE,MASE,MSE,RMSLE,RMSSE,SMAPE,WAPE
0,WeightedEnsemble,-0.2506827160559738,-0.24318832507608507,52.31696128845215,42.57376980781555,1.9285881519317627,13,-0.16213243974302105,-0.16739663896510432,-0.5020678847693625,-0.06284182412919999,-0.1140152124949217,-0.5829852410132613,-0.16462073617770193,-0.15950747939148893
1,ChronosFineTuned[bolt_small],-0.2518521912721926,-0.2476054096412999,1.7734253406524658,0.25983643531799316,72.7708158493042,8,-0.16050685663347466,-0.16171639494927065,-0.4989806169912906,-0.0634295262486051,-0.11528118930477078,-0.5864634638693695,-0.16324861600445087,-0.15790821483495665
2,PatchTST,-0.25399291470105834,-0.2528082813661743,1.3243365287780762,0.6050703525543213,110.2956473827362,11,-0.1635301930001043,-0.168548497042489,-0.5070658575679725,-0.06451240071833911,-0.11659279085285014,-0.5914280355113677,-0.16633119500885465,-0.1608826027116707
3,TiDE,-0.26386307360041705,-0.2611698370463131,2.1079564094543457,1.2092313766479492,397.88780641555786,12,-0.1696222547125046,-0.1741150673872179,-0.5250602638925986,-0.06962372160985912,-0.12170792941240409,-0.6149605191732723,-0.17273006797657492,-0.16687603258654682
4,TemporalFusionTransformer,-0.2660481685317781,-0.25355176712077704,0.9047410488128662,0.662642240524292,274.6335322856903,9,-0.17467051690551572,-0.17468890529736303,-0.540311308825675,-0.07078162797911342,-0.12296767304015965,-0.6138459562315681,-0.17854900263778803,-0.17184256228899775
5,ChronosZeroShot[bolt_base],-0.269889995101119,-0.262000168122538,1.5214085578918457,5.917779922485352,0.013980627059936523,7,-0.17518890787399757,-0.1788010506097218,-0.5404149390267939,-0.07284060945568203,-0.12264303408409026,-0.6218676396733824,-0.17578768263120723,-0.1723525603921097
6,DynamicOptimizedTheta,-0.2707787312767496,-0.2703935983233165,2.0054945945739746,91.20989632606506,0.8306319713592529,5,-0.1795547077261965,-0.18313055157641456,-0.5543906406704511,-0.07332112131184619,-0.1244806006637694,-0.6196064673342151,-0.1806640019484364,-0.17664767697122083
7,DeepAR,-0.2713591763928831,-0.26509661676738877,2.4202237129211426,1.0966956615447998,242.27525639533997,10,-0.17122318979482373,-0.1697924853736023,-0.5319133600088639,-0.07363580261262383,-0.1228383856717867,-0.6354632780394079,-0.172551835971461,-0.16845104817290865
8,AutoETS,-0.27221626833496154,-0.2710709588250828,43.65724754333496,27.851482391357422,0.8104925155639648,6,-0.18129121713655413,-0.18762151774659813,-0.5612583887263657,-0.0741016967462118,-0.12551586483874247,-0.6269647456755013,-0.18212483293788206,-0.17835607190702002
9,RecursiveTabular,-0.2990605569710076,-0.2940358846944404,5.135437250137329,2.2958645820617676,318.77993607521057,2,-0.20248271500754111,-0.2112198919668381,-0.6175914189886267,-0.08943721673580927,-0.13761072527380258,-0.676062107651971,-0.20586576030725232,-0.19920447470222155
10,DirectTabular,-0.39134525225710787,-0.34735673211145596,2.05204701423645,1.058264970779419,336.9519000053406,3,-0.27268903187634436,-0.3112182467089109,-0.8192529160836084,-0.15315110646417937,-0.17793650072395717,-0.8669928769402377,-0.2649854993966757,-0.2682741356464004
11,SeasonalNaive,-0.4934052203946747,-0.4610935142849687,1.3063526153564453,9.801159143447876,0.6380312442779541,1,-0.34597054886211515,-0.36069037875928694,-1.042441965295692,-0.24344871151271755,-0.2235704681706741,-1.0856496329802614,-0.3314172305131176,-0.34036920853194874
12,NPTS,-0.4940902133753645,-0.45807452753922895,2.5905537605285645,12.136473417282104,0.6404235363006592,4,-0.37001207329317265,-0.4277726220189369,-1.1260544511607908,-0.24412513895331325,-0.22499060261013729,-1.1105104090078481,-0.35774211482030865,-0.36402149532171785
