,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order,MAE,MAPE,MASE,MSE,RMSLE,RMSSE,SMAPE,WAPE
0,DeepAR,-0.49697875520763235,-0.44456347254072637,4.299516916275024,0.5848002433776855,244.05343770980835,10,-0.36574163373559715,-0.42437165798694726,-1.1554252312303017,-0.24698788312772774,-0.22409985520239134,-1.2039841884359117,-0.3457043677697199,-0.3495453359390337
1,WeightedEnsemble,-0.4990102288362144,-0.4248533462043634,11.69275712966919,87.14795327186584,1.6175482273101807,13,-0.3535970892444009,-0.38583935416092746,-1.1188125282909094,-0.24901120848317101,-0.22310222597290635,-1.2231685780349857,-0.337565383427811,-0.3379385936585785
2,ChronosFineTuned[bolt_small],-0.5035258147276817,-0.44018977900875933,2.8150546550750732,0.08232450485229492,68.99092054367065,8,-0.3517232791691639,-0.35553149103732484,-1.1202187056204063,-0.2535382460971756,-0.22347404916751618,-1.2372365358495743,-0.3364056737310126,-0.33614776233991006
3,TemporalFusionTransformer,-0.5124519782595969,-0.4545220620527723,0.7233738899230957,0.08402419090270996,194.34323358535767,9,-0.35618396185285656,-0.3599069425151621,-1.1359471052306702,-0.2626070300221744,-0.22826476392526324,-1.2666506099614911,-0.34190846632292704,-0.34041091064835766
4,PatchTST,-0.5185055653149943,-0.44885280157997687,0.625924825668335,0.21155738830566406,55.401588678359985,11,-0.35802756444372713,-0.35707930466466736,-1.1402833543308672,-0.26884802126262175,-0.22894368192083886,-1.2779701134526944,-0.34280847483818006,-0.3421728721739897
5,ChronosZeroShot[bolt_base],-0.5306141424156754,-0.47624403781467706,2.2022175788879395,1.8563275337219238,0.01923537254333496,7,-0.3771617984594711,-0.40137710589218345,-1.1978679821433253,-0.2815513681315227,-0.23680514268963054,-1.2809912017334069,-0.35330940970764857,-0.36045977648033517
6,TiDE,-0.532064484766816,-0.47218059464315154,1.3842415809631348,0.2711348533630371,148.6536524295807,12,-0.3714125528685247,-0.3718455890839895,-1.1919882190474076,-0.28309261595017743,-0.23815714518794814,-1.3250447185944247,-0.35858527012916175,-0.35496512726318813
7,NPTS,-0.536794688066606,-0.4884880713747709,6.304487705230713,13.751960515975952,0.06829118728637695,4,-0.40223798758865253,-0.4559331730463692,-1.2730320433671536,-0.28814853713652483,-0.24292975478604667,-1.3166426231080024,-0.38062227920629266,-0.38442550568568745
8,DynamicOptimizedTheta,-0.5611440423949245,-0.5129822243642334,0.7010340690612793,76.83006620407104,0.1423957347869873,5,-0.3962687356211075,-0.41815013897457204,-1.2637427497472538,-0.3148826363153168,-0.2524744445795635,-1.356595378533258,-0.3702878744152295,-0.3787205927311818
9,RecursiveTabular,-0.5857252563280089,-0.5357556440376121,47.79077887535095,14.162673473358154,155.08566904067993,2,-0.4281877520301954,-0.46285216201188867,-1.343840903689879,-0.3430740759005117,-0.26595091251054714,-1.4083208198990533,-0.40128326018735694,-0.40922612528322344
10,AutoETS,-0.6013329695132121,-0.6293403771651521,8.590975999832153,3.713615655899048,0.14244461059570312,6,-0.427031784720056,-0.4781728197279062,-1.3419726863794197,-0.36160134022357776,-0.26525575880420765,-1.418120942878453,-0.37995060942303044,-0.40812134818243184
11,DirectTabular,-0.6048084605780548,-0.4974509678255155,2.593424081802368,0.6875767707824707,175.62541675567627,3,-0.4577771412390978,-0.5271883792239487,-1.4224832357072974,-0.36579327398679645,-0.27717273525690245,-1.440307078628988,-0.42645624548623573,-0.43750519454208087
12,SeasonalNaive,-0.6538132402321299,-0.553793133856301,0.5860855579376221,8.751628160476685,0.06352519989013672,1,-0.471415115248227,-0.5133127321711807,-1.464511505380907,-0.42747175310283686,-0.290602947917203,-1.5102352629281925,-0.42653670241909497,-0.4505392321435947
