,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order,MAE,MAPE,MASE,MSE,RMSLE,RMSSE,SMAPE,WAPE
0,WeightedEnsemble,-0.18283607659940368,-0.1779844685217396,14.911747694015503,20.163135766983032,1.8501009941101074,13,-0.11631178611137823,-0.11660858623152716,-0.35841066120865894,-0.03342903090626301,-0.08159508073824245,-0.4225201662651448,-0.11677189601534364,-0.11399744544969899
1,ChronosFineTuned[bolt_small],-0.18477325080689908,-0.18085552158595436,3.0520074367523193,0.46363329887390137,71.95763230323792,8,-0.11826337797292678,-0.11752345294006639,-0.36428122359643245,-0.034141154213749234,-0.08277912850292878,-0.4258586015100037,-0.11901104733310482,-0.11591020506086959
2,TiDE,-0.1907672570825581,-0.18375830697574616,2.4585154056549072,2.2103567123413086,589.4369728565216,12,-0.11961502659939453,-0.11986522831837562,-0.3674629754034022,-0.036392146374802814,-0.08573508121338007,-0.43902652083886773,-0.12056811736683286,-0.11723495894621848
3,PatchTST,-0.1912470447808677,-0.18917108167992927,1.1186816692352295,1.0187790393829346,122.61531043052673,11,-0.12032282818827712,-0.11972772869502592,-0.3691943600439387,-0.036575432137415216,-0.08603229093913077,-0.43888303232482473,-0.1214704511504838,-0.11792867688930456
4,TemporalFusionTransformer,-0.1981516267033179,-0.18633478611650497,1.698887825012207,1.2928791046142578,274.4422299861908,9,-0.12682414685542281,-0.12494817562026675,-0.3880837922706593,-0.03926406716517105,-0.08931264554741442,-0.44766378291459563,-0.12808511222649518,-0.12430063406481688
5,AutoETS,-0.19816586865409783,-0.19520381924388985,63.409515380859375,59.364295959472656,1.7886126041412354,6,-0.1313687665496177,-0.1338349875347722,-0.40242220659761624,-0.03926971149943315,-0.08942977931008941,-0.44955705165360627,-0.13169313314468958,-0.12875482613768652
6,ChronosZeroShot[bolt_base],-0.19854260279850777,-0.19356103770529234,2.0962276458740234,2.032336950302124,0.004312753677368164,7,-0.1298742863167933,-0.130767066371617,-0.39876200752966173,-0.039419165126006024,-0.08896992575689947,-0.4538019741227705,-0.13073431323071025,-0.12729008267089878
7,DynamicOptimizedTheta,-0.19893609572653156,-0.19520674433044627,4.174404144287109,80.7516770362854,2.012070417404175,5,-0.13173369274162602,-0.13305120625271194,-0.4043401794441555,-0.03957557018291573,-0.08952873263825233,-0.4512998661880799,-0.13199446566181647,-0.1291124911263988
8,DeepAR,-0.215438930429424,-0.20889182638867576,3.119403600692749,1.8555676937103271,235.58100509643555,10,-0.13999185131781217,-0.1359324405851627,-0.4297881445425562,-0.0464139327445742,-0.0977504234929652,-0.49371965981933963,-0.14363779814991104,-0.13720633108258576
9,RecursiveTabular,-0.22477310286869917,-0.21699382994311125,3.375889778137207,1.6397771835327148,311.6597020626068,2,-0.15072396373656913,-0.15614348459148938,-0.46022300929856896,-0.05052294777322282,-0.1009349697184981,-0.5076489422154914,-0.1526486921402906,-0.14772489881265008
10,DirectTabular,-0.23278991714874103,-0.21527145510933662,2.169349193572998,1.2551581859588623,322.1951060295105,3,-0.15919283346081975,-0.17461378856143828,-0.4811906966606599,-0.05419114552611771,-0.10541575841283146,-0.520762163265277,-0.16065543280364178,-0.15602525724310518
11,NPTS,-0.4985855937433491,-0.4589029284658684,4.403570890426636,13.922329425811768,1.486497402191162,4,-0.3731591818330874,-0.42859299025912223,-1.1275328402527112,-0.24858759428840793,-0.22653533940650686,-1.1056496641554767,-0.3591517712155212,-0.365734160718131
12,SeasonalNaive,-0.5015276139280691,-0.4617013295673049,3.136712074279785,11.194811820983887,1.4842076301574707,1,-0.3506140350877193,-0.36224400601713985,-1.047596972193308,-0.25152994753238234,-0.22651934308991925,-1.0862141677668447,-0.3338738128949769,-0.34363761124377695
