,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order,MAE,MAPE,MASE,MSE,RMSLE,RMSSE,SMAPE,WAPE
0,WeightedEnsemble,-0.37847106499589234,-0.3436479742534105,21.39045262336731,100.44432926177979,2.366328716278076,13,-0.26060839905558186,-0.11778817111582213,-0.8327386154284614,-0.14324034703912494,-0.10943237537357994,-0.9020870058784037,-0.11600227818110805,-0.11751378602061868
1,ChronosFineTuned[bolt_small],-0.38249180639693126,-0.3484212677054741,0.821739673614502,0.08787226676940918,113.08276963233948,8,-0.2601514695133522,-0.1150328995490842,-0.8296953842104906,-0.14629998196078756,-0.11033260896790914,-0.9115066637309682,-0.11582145619214486,-0.11730774691886041
2,PatchTST,-0.3910576925825207,-0.3651214736674385,0.5203192234039307,0.4824249744415283,143.75423455238342,11,-0.26675754691146275,-0.1190250844121006,-0.852222517949195,-0.1529261189279653,-0.11300301409250464,-0.9239410616350099,-0.11900475423366572,-0.12028656559320267
3,TemporalFusionTransformer,-0.4038346621726454,-0.3747760200279235,0.42363429069519043,0.3164083957672119,327.9391531944275,9,-0.2752206266478488,-0.12108235938753996,-0.8737805637067824,-0.16308243437209466,-0.1173777372396364,-0.9544423048434139,-0.1228211399847864,-0.12410274551994785
4,TiDE,-0.40667897243150725,-0.3825191657374962,0.8667953014373779,0.8138749599456787,1351.742041349411,12,-0.27884058299859366,-0.12465750304786341,-0.8870354968824504,-0.16538778661794662,-0.11739524081215759,-0.9590701769014179,-0.12349815087959624,-0.12573505966464538
5,ChronosZeroShot[bolt_base],-0.41642862763381655,-0.3912026467585578,1.1505272388458252,8.420469760894775,145.73825240135193,7,-0.2863377085059707,-0.12745140291290435,-0.9078856940363276,-0.17341280191298386,-0.11959438581848164,-0.9881410619435973,-0.125757454511701,-0.12911567059597506
6,DeepAR,-0.41744445067649183,-0.3847496780220608,1.649968147277832,0.9239578247070312,365.7723345756531,10,-0.29803801332998,-0.14208563483540063,-0.9525652124483495,-0.174259869400598,-0.12213012254896881,-0.9929970814020918,-0.131406161606303,-0.13439158312391855
7,AutoETS,-0.42672914980350524,-0.39571171833012025,8.649380207061768,8.475817918777466,0.4803619384765625,6,-0.2873807524454515,-0.12759968492753407,-0.9029686290005076,-0.1820977672920224,-0.1222222152918243,-0.9858786673069869,-0.1262839499641608,-0.1295860009566175
8,DynamicOptimizedTheta,-0.42722373093476806,-0.3932147745776997,1.3974716663360596,298.25372290611267,0.45360755920410156,5,-0.28847193764645856,-0.12805424674980695,-0.9051143717322261,-0.18252011627382309,-0.12234272459975606,-0.9851371896070663,-0.12673021261901113,-0.13007803922048272
9,RecursiveTabular,-0.442686330754496,-0.39122065587706345,11.845628261566162,8.203356981277466,634.001772403717,2,-0.30483640643853194,-0.13538750498664004,-0.9594757729505883,-0.195971187436879,-0.1275870651938492,-1.025374568659182,-0.1351276996719902,-0.13745712098047871
10,DirectTabular,-0.5006371086143276,-0.45828667022922004,2.137455463409424,1.2240455150604248,535.0176477432251,3,-0.3669070059054079,-0.17278468915649217,-1.1757507291471105,-0.25063751452171407,-0.1477516363034038,-1.2167385747684683,-0.16255393637481777,-0.16544605445443908
11,NPTS,-0.5072419118542162,-0.4772004706987282,4.3948447704315186,89.52267169952393,0.43723177909851074,4,-0.39276760233918134,-0.18549527103929045,-1.296151520061414,-0.25729435714152044,-0.1522395134144899,-1.3097983790265604,-0.17653417734685825,-0.17710713908063286
12,SeasonalNaive,-0.5173046937722782,-0.5015174050841498,0.7788741588592529,60.40036487579346,3.7863173484802246,1,-0.3682309941520468,-0.16390362703348677,-1.1686537857832615,-0.26760414619883044,-0.1478241901993861,-1.2151675377587403,-0.16172364602992242,-0.1660430684880357
