,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order,MAE,MAPE,MASE,MSE,RMSLE,RMSSE,SMAPE,WAPE
0,WeightedEnsemble,-0.16271167899524408,-0.15440734688027802,146.66250824928284,362.8272156715393,3.414552927017212,13,-0.11845643262532184,-0.05224795979853018,-0.38597079329678163,-0.026475090481451354,-0.04645034997629271,-0.4043609762776974,-0.05229175422524569,-0.05326353525098083
1,ChronosFineTuned[bolt_small],-0.16346826536312115,-0.155749493521194,2.3619332313537598,1.8612158298492432,80.14529156684875,8,-0.11928737498891807,-0.05252870220955028,-0.3885981364351424,-0.026721873780827788,-0.04674254971402851,-0.4062633410674148,-0.052664756033525606,-0.0536371656811233
2,TiDE,-0.16583808007548256,-0.1622213738497536,6.63627028465271,12.817392110824585,603.7518565654755,12,-0.12052151686163276,-0.05326920087838774,-0.3925314144148893,-0.027502268803122166,-0.047317810935314106,-0.410251996441663,-0.053081867737716754,-0.05419209341012194
3,TemporalFusionTransformer,-0.1664163937227334,-0.15815795867863722,4.578305244445801,4.014265775680542,277.2454717159271,9,-0.12049622681366494,-0.05300135559494896,-0.39260324413324366,-0.02769441609967982,-0.04737953542360265,-0.41317764723513845,-0.05318440403149085,-0.05418072182538332
4,AutoETS,-0.16723624876933885,-0.1592351346407872,107.92700362205505,120.15888738632202,5.456970930099487,6,-0.12100175636028918,-0.05335647371806238,-0.3939577526959148,-0.027967962902440188,-0.04762595143799752,-0.4142315590000204,-0.05331479589060651,-0.054408031480336384
5,DynamicOptimizedTheta,-0.16878009476537,-0.16048594102657768,15.253031492233276,138.66604781150818,5.588794231414795,5,-0.12253210927895244,-0.05405787719039561,-0.39916062847594247,-0.028486720389007285,-0.04811486551249358,-0.41800729032305095,-0.05401227642537005,-0.055096149506712246
6,ChronosZeroShot[bolt_base],-0.1688994114371591,-0.1613704792246015,4.0116260051727295,10.573060035705566,0.004343509674072266,7,-0.12279768551450679,-0.05407637621044592,-0.400616773105907,-0.028527011183818757,-0.048134348244927745,-0.4194073681961621,-0.05415469506828351,-0.055215564964959364
7,PatchTST,-0.1740976420567199,-0.17183706755396586,2.9254631996154785,9.626886129379272,130.9043731689453,11,-0.1275389832670115,-0.05722503472424359,-0.41874324776808386,-0.030309988969709767,-0.05015670002794942,-0.43598236136253016,-0.05644696882976108,-0.057347473501954654
8,DeepAR,-0.17703669874142758,-0.1696374790919981,6.127310037612915,5.1999571323394775,256.0434124469757,10,-0.1263730134917058,-0.05527757346990092,-0.40906341370948335,-0.031341992701262984,-0.05018423120287166,-0.4307976347082558,-0.055752345413765565,-0.05682319912653928
9,DirectTabular,-0.18028543442792488,-0.1662084632562813,3.0569114685058594,2.8097550868988037,322.8263318538666,3,-0.12924730856940192,-0.057179822671034636,-0.41554652599430003,-0.03250283786686561,-0.05105382310045242,-0.4338287331200627,-0.056886463689246054,-0.05811561621018411
10,RecursiveTabular,-0.20703483140123252,-0.19360789747535279,2.85750150680542,2.208134651184082,551.7880101203918,2,-0.14838888139009093,-0.06528927334077259,-0.4766548395809318,-0.04286342141333677,-0.05857855914350762,-0.4974991680167533,-0.06522719444873784,-0.06672255984421045
11,SeasonalNaive,-0.46607935383163496,-0.4571441214757365,5.622586965560913,34.35078954696655,5.649212837219238,1,-0.33066604176430764,-0.14492172771047884,-1.0344090934238215,-0.21722996406811437,-0.13253271067083688,-1.0621535484587719,-0.14442142378407422,-0.14868286999257965
12,NPTS,-0.5070094443523716,-0.4773444690814831,7.689569473266602,83.48202300071716,5.274101972579956,4,-0.3864770556683851,-0.1795928315355662,-1.2665450234170839,-0.25705857666250065,-0.15003954336025474,-1.2767319811548885,-0.17277151979155933,-0.17377810408489314
