,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order,MAE,MAPE,MASE,MSE,RMSLE,RMSSE,SMAPE,WAPE
0,WeightedEnsemble,-0.24592834480820042,-0.23301440766115902,14.845491647720337,140.11668848991394,2.7311553955078125,13,-0.16994435712887673,-0.07513826096456858,-0.551437404377489,-0.060480750780101115,-0.06977156273377023,-0.5982937779403215,-0.0750942464439304,-0.07630067798205153
1,ChronosFineTuned[bolt_small],-0.2471869171378587,-0.2350168706461598,1.358750820159912,0.45316219329833984,77.47606706619263,8,-0.16977972370841554,-0.07440562667497153,-0.5491986151213434,-0.06110137200411863,-0.0701471199871438,-0.5983690165147602,-0.07486635792817227,-0.07622676177905477
2,TiDE,-0.25451438759821676,-0.2499919050264858,1.9899091720581055,3.212498664855957,597.0971524715424,12,-0.17489797570908716,-0.07664226884039607,-0.5654581722712813,-0.06477757349449531,-0.0721605710502207,-0.6145131657926723,-0.07702936229669342,-0.07852472626773785
3,ChronosZeroShot[bolt_base],-0.258086420490859,-0.2512502761988772,1.5569024085998535,6.24491286277771,0.009957551956176758,7,-0.17908000270769475,-0.0786621712570114,-0.5792745116306113,-0.06660860044178447,-0.07318247642772731,-0.6265150420768939,-0.07872864495656859,-0.08040234963060727
4,PatchTST,-0.26088808564813876,-0.25875283553506695,0.9814026355743408,2.5894577503204346,76.33661794662476,11,-0.18256852910500163,-0.08153935600263221,-0.5930522466224512,-0.06806259323315057,-0.07418185909799904,-0.6326440274888939,-0.08050168717810224,-0.08196860892729545
5,AutoETS,-0.2621033429341592,-0.25121008519395616,29.58431911468506,28.95094347000122,1.2359185218811035,6,-0.18024737615995753,-0.07900345102136651,-0.5799444112888993,-0.06869816237726147,-0.07382759147882915,-0.6271634512974927,-0.07890607800569438,-0.08092647050976275
6,TemporalFusionTransformer,-0.2621415087578762,-0.25120277881683356,1.1663472652435303,1.0055480003356934,167.08410811424255,9,-0.17824512881505192,-0.07730832176919175,-0.5774532353822698,-0.06871817061385568,-0.07405432606123047,-0.6349814235301077,-0.07871906949500213,-0.08002751256561515
7,DynamicOptimizedTheta,-0.2636793704088415,-0.25072639472110264,3.499441385269165,98.83040618896484,1.223649501800537,5,-0.18168383474688668,-0.0795631668005299,-0.5837924071850854,-0.06952681037920302,-0.0742665206568045,-0.6295865671924197,-0.07950742746257719,-0.08157140374513176
8,DeepAR,-0.26462117871811464,-0.25455754642355827,2.519068956375122,2.2306556701660156,258.19471621513367,10,-0.18733284506815245,-0.08555127796603075,-0.6121787023791107,-0.07002436822616437,-0.07549690409763146,-0.6439308467342356,-0.08282997456020841,-0.08410766517047183
9,RecursiveTabular,-0.3237840647159862,-0.30396004760959927,5.087507009506226,2.746234893798828,360.6399130821228,2,-0.22164965208417683,-0.09662310989683141,-0.6995174442825928,-0.10483612056400594,-0.09132551285349529,-0.7524380776803667,-0.09692035488920428,-0.09951503547530771
10,DirectTabular,-0.37742268512016824,-0.34299323510445157,2.215550184249878,1.5529835224151611,349.69031143188477,3,-0.2588427383077237,-0.11747398144898999,-0.8182095173140645,-0.14244788324331767,-0.10873889218376723,-0.8872151525423748,-0.11364778115048263,-0.1162137817181703
11,SeasonalNaive,-0.4689862238545762,-0.4554869626780566,1.7661817073822021,24.629419326782227,1.027125597000122,1,-0.33225075366063733,-0.1453167598818499,-1.04170475173038,-0.21994807816537468,-0.13322794317570372,-1.0795031441399188,-0.14496522614417573,-0.14917210663917135
12,NPTS,-0.506674712370669,-0.47475915552492226,4.262320041656494,34.460023164749146,1.1252927780151367,4,-0.38728196597760545,-0.18023086116974088,-1.2728619555194844,-0.2567192641559001,-0.15029136458086845,-1.2893514884229398,-0.17316460123067684,-0.17387971612322534
