,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order,MAE,MAPE,MASE,MSE,RMSLE,RMSSE,SMAPE,WAPE
0,ChronosFineTuned[bolt_small],-0.19244848273800186,-0.1829552421889298,1.899919033050537,0.9531576633453369,80.01463103294373,8,-0.13839831198111943,-0.061053318380241306,-0.4515661963140328,-0.037036418508159,-0.05502832945398455,-0.4781501643998781,-0.061211060649543396,-0.06221762328641677
1,WeightedEnsemble,-0.19245076984637713,-0.18222348698573268,22.946170330047607,143.63462162017822,2.9018921852111816,13,-0.13823001631957046,-0.0610611881738253,-0.4512513128964989,-0.03703729881446322,-0.05492007937745537,-0.47837226402102745,-0.061118400907172264,-0.06214196516659505
2,TiDE,-0.1969781648263423,-0.1936659743203147,3.568763494491577,6.137835264205933,602.297975063324,12,-0.14101088544789245,-0.062175969965615425,-0.4601174590271683,-0.03880039741835368,-0.05618919907871438,-0.48879209113451716,-0.062270422857423506,-0.06339211818766924
3,ChronosZeroShot[bolt_base],-0.20152203547460712,-0.19195819685622947,2.3670730590820312,6.7053234577178955,0.0057239532470703125,7,-0.14422295639723665,-0.0635352117024602,-0.4708473649258216,-0.040611130781828805,-0.0573138737886665,-0.4995124779486402,-0.06363640055826172,-0.06483612005037118
4,AutoETS,-0.20170490918322698,-0.19169460906859576,51.43986415863037,58.060309171676636,2.6557888984680176,6,-0.14324990208492805,-0.063106534915758,-0.4662545240655138,-0.04068487038861384,-0.057232742433818366,-0.4976280490626544,-0.06307337403844769,-0.06439867882891538
5,DynamicOptimizedTheta,-0.20272721185494874,-0.1920974322479426,7.92547607421875,101.61105966567993,2.679152488708496,5,-0.1445613132644736,-0.06370078770412897,-0.4697735590721079,-0.041098322426481274,-0.05754229958790967,-0.4981075899801554,-0.06364190361177098,-0.06498822999882917
6,DeepAR,-0.20289281505063103,-0.19621127618594916,3.6904702186584473,3.3079583644866943,274.95493602752686,10,-0.14462231007331533,-0.06387787778132989,-0.4746396140844765,-0.04116549439916957,-0.05773681165146063,-0.5053558146406498,-0.06402008301513919,-0.06501565140606934
7,TemporalFusionTransformer,-0.20598927390585403,-0.19558796827539895,2.308746337890625,2.551483154296875,178.07881093025208,9,-0.14512109559686376,-0.06373585989182742,-0.4729922941131075,-0.04243158096426095,-0.05820874582849868,-0.507747463555776,-0.06391742042068334,-0.06523988282450664
8,PatchTST,-0.20674878645153116,-0.20503197086339617,1.6228535175323486,5.055182456970215,91.37477159500122,11,-0.14912924889572562,-0.0669706826872996,-0.4881889610065578,-0.04274506069918084,-0.059463255862549275,-0.5143570280605111,-0.06611414775343483,-0.06704176731610952
9,DirectTabular,-0.2288562232700591,-0.20728353726520388,2.4091956615448,1.9998273849487305,350.75536465644836,3,-0.16024724857351952,-0.0713674808804879,-0.5128360556295927,-0.052375170929435146,-0.06475517694430852,-0.5418997975451816,-0.07060460860122182,-0.07203991726280723
10,RecursiveTabular,-0.2519426258918296,-0.23276662036758536,3.338942527770996,2.0579748153686523,543.3845715522766,2,-0.17712333374649664,-0.07769554004804306,-0.564771463747834,-0.0634750867412704,-0.07108909545571843,-0.5955400206859476,-0.07772612677665457,-0.0796266420921174
11,SeasonalNaive,-0.46632428481432847,-0.455777393801428,2.8102641105651855,29.46524143218994,2.2821567058563232,1,-0.3306387130801688,-0.14484908612895775,-1.0361179727947663,-0.21745833860759495,-0.1326248239947639,-1.0682032105353338,-0.14444757468168107,-0.14864021533105112
12,NPTS,-0.5062471910022606,-0.47822535039568526,5.740171432495117,31.957419633865356,2.242658853530884,4,-0.38565915611814344,-0.1793429149047915,-1.2656076805521057,-0.25628621839767934,-0.14989137588438758,-1.2796636511089043,-0.1724040896166795,-0.1733749187315916
