,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order,MAE,MAPE,MASE,MSE,RMSLE,RMSSE,SMAPE,WAPE
0,WeightedEnsemble,-0.3121559592305843,-0.3046374925007492,6.410998344421387,28.751758575439453,2.4073479175567627,13,-0.2183192582748108,-0.09718931428843335,-0.7070822270202779,-0.09744134288316621,-0.08948419472097989,-0.7637427754213701,-0.09690056615455854,-0.0981555956802352
1,ChronosFineTuned[bolt_small],-0.3140368062047437,-0.3077642010536944,1.086216926574707,0.11305904388427734,77.89747881889343,8,-0.2179870480785403,-0.09611645588986173,-0.70444219415073,-0.09861911565127575,-0.08989654275735108,-0.764826234941185,-0.09646895786465855,-0.09800623510635063
2,PatchTST,-0.31882218590662637,-0.31892821170943403,0.6329874992370605,1.207566261291504,130.40303945541382,11,-0.22599550355613748,-0.10198599413284931,-0.7302068558319963,-0.10164758622627944,-0.09174119526449462,-0.7733464064832524,-0.10017938057228071,-0.10160680943998417
3,TemporalFusionTransformer,-0.33151696556390015,-0.3193896659791007,0.6080667972564697,0.5002105236053467,229.20875549316406,9,-0.22986910669166105,-0.10073669680762075,-0.7419274946762054,-0.10990349845669616,-0.09497242328170542,-0.806265065523122,-0.10180018341185836,-0.10334836822962398
4,TiDE,-0.33274914772838105,-0.32958886573359947,1.1248717308044434,1.8488848209381104,603.7538645267487,12,-0.23032602790378884,-0.10111662906620991,-0.7367997961245514,-0.11072199531396396,-0.0949680979156189,-0.79321469793795,-0.10145892157654021,-0.10355379845190371
5,ChronosZeroShot[bolt_base],-0.3381816710424415,-0.3325999948652113,1.1314363479614258,5.871064901351929,0.013797998428344727,7,-0.23741973408952308,-0.10455998653292771,-0.761293041416024,-0.11436684262905812,-0.09624135080566491,-0.8206301315331774,-0.10390989117446771,-0.10674310461638718
6,DeepAR,-0.34030321320973445,-0.33344826738482847,1.816004753112793,1.6235873699188232,263.6775646209717,10,-0.2305442017015949,-0.09961240655239849,-0.7429742848006,-0.11580627692086998,-0.09606611424254925,-0.8154382207512775,-0.10180781635837628,-0.10365188864905213
7,AutoETS,-0.3421775021759621,-0.3349935432102492,12.425907373428345,13.961799621582031,0.5347316265106201,6,-0.2369998136621731,-0.10412729852416747,-0.7571979182254948,-0.11708544299538055,-0.09679576484398467,-0.8144906154067549,-0.10353787420893042,-0.1065543098210469
8,DynamicOptimizedTheta,-0.34305938595707464,-0.33481422683174583,1.8641388416290283,93.2049913406372,0.6493954658508301,5,-0.23789164393048562,-0.10457283031256534,-0.7599830240502993,-0.1176897422932451,-0.09707674478939471,-0.8148147776127176,-0.10403302880895018,-0.1069552736751916
9,RecursiveTabular,-0.36429220615131164,-0.35816487263658703,8.327152967453003,4.0193822383880615,432.4596643447876,2,-0.25538272178026694,-0.11221440314832376,-0.8139506614031162,-0.13270881146258973,-0.10520193565800963,-0.8724401326144778,-0.11311979264250475,-0.11481920276235238
10,DirectTabular,-0.4366595952211559,-0.39118529412278297,1.9221405982971191,1.3145267963409424,344.3472406864166,3,-0.3117513533487489,-0.14327921937041965,-0.9928763506160944,-0.19067160209870368,-0.12729982272474957,-1.0469193962686503,-0.13762161320034372,-0.14016234771898967
11,SeasonalNaive,-0.4690202214908743,-0.45205597481464704,0.7377448081970215,25.21177887916565,0.5240702629089355,1,-0.3326512050932242,-0.14591885586611317,-1.0460426171122663,-0.2199799681673488,-0.13371082703858964,-1.0909877797029468,-0.14553569030662408,-0.14955884995071358
12,NPTS,-0.5048460987770749,-0.46708881816855197,4.077471733093262,26.930922746658325,0.5076990127563477,4,-0.38825534333788086,-0.18194272240760515,-1.2800984915866507,-0.25486958345043204,-0.15081914741146668,-1.3022987906819532,-0.17402497997179978,-0.17455828131017848
