,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order,MAE,MAPE,MASE,MSE,RMSLE,RMSSE,SMAPE,WAPE
0,WeightedEnsemble,-0.3974363605123431,-0.3855184166425368,9.244194984436035,29.907055854797363,2.2497711181640625,13,-0.27780869917034545,-0.12423032289547414,-0.9021499475659795,-0.15795566065729716,-0.11467714678620414,-0.9613687956898513,-0.12393221904459246,-0.12552982176767027
1,ChronosFineTuned[bolt_small],-0.3977402002495254,-0.38871383934167414,1.0156028270721436,0.09647059440612793,73.16888785362244,8,-0.2766241404704965,-0.12290855399468599,-0.8982114427937806,-0.15819726689453253,-0.11470263317020954,-0.9630303934782095,-0.12312372074910369,-0.12499457055736098
2,DeepAR,-0.41182631875667786,-0.40066921758273116,1.56174898147583,0.8539834022521973,234.71446752548218,10,-0.29086564904604206,-0.13308382554821857,-0.9368302784682528,-0.16960091682067682,-0.11961928853186843,-0.9781018378882508,-0.1298407444977543,-0.13142969673782226
3,PatchTST,-0.4226893844098039,-0.40613879025290484,0.47370386123657227,0.4221615791320801,109.95662212371826,11,-0.29150423056804214,-0.1273220452019149,-0.9336410069452591,-0.178666315692739,-0.12156757128767154,-0.9969550742775012,-0.12973956017884986,-0.13171824430627563
4,TiDE,-0.4309270679496141,-0.42550462538636,0.7560958862304688,0.6232032775878906,486.002427816391,12,-0.2958669352646057,-0.13075153393024763,-0.9503007905728675,-0.18569813789165132,-0.12477981736267822,-1.0210537031667866,-0.13186660899193733,-0.1336895632196866
5,TemporalFusionTransformer,-0.4312454357656199,-0.4156606467756335,0.33370041847229004,0.23831486701965332,261.1451344490051,9,-0.29912652202700013,-0.13213319767879528,-0.9559639114879098,-0.1859726258686794,-0.12502799151236857,-1.0167878178653706,-0.13346480259920238,-0.13516243050764987
6,ChronosZeroShot[bolt_base],-0.4450357955615204,-0.42964448143413286,1.0016191005706787,5.355061054229736,0.007194042205810547,7,-0.30978482965593035,-0.1378500772303567,-0.9875833860299174,-0.19805685933107536,-0.1280295811695224,-1.0570867934035657,-0.1362623011220882,-0.13997846204661987
7,AutoETS,-0.464724770612147,-0.4634358652783882,8.06112003326416,6.627619504928589,0.26903438568115234,6,-0.3138794014410562,-0.1394166156973131,-0.9969664576953006,-0.21596911242051267,-0.13231695426377896,-1.067767407787817,-0.13769602985057572,-0.1418286232112514
8,DynamicOptimizedTheta,-0.4662626957042083,-0.46332661359615823,1.0061426162719727,96.35223770141602,0.3001723289489746,5,-0.31545684334042934,-0.14009836482869414,-1.0019536084097496,-0.21740090140535517,-0.13272248337083647,-1.0701201685844413,-0.13842711002147767,-0.1425414014686225
9,RecursiveTabular,-0.46716632369642797,-0.45716971663045997,15.395543098449707,8.017972230911255,315.7655212879181,2,-0.3298707763812481,-0.1469843093626421,-1.0590497198424158,-0.21824437399603572,-0.13764576451303867,-1.1203930526339585,-0.14875708792030876,-0.14905443886085923
10,NPTS,-0.5071731813409974,-0.4853682362237568,6.186746597290039,28.534440279006958,0.24709677696228027,4,-0.39209445266272186,-0.1861140843662446,-1.312136535142442,-0.2572246358715483,-0.15261906905650421,-1.3293051032810501,-0.1768802502115349,-0.17717064622466516
11,DirectTabular,-0.5251012868636921,-0.48606413277688587,2.054100751876831,1.1898436546325684,288.2844488620758,3,-0.38595133662370773,-0.1825825586916771,-1.252566171633502,-0.2757313614659054,-0.15505953168419004,-1.2897633347651654,-0.17119135041353536,-0.17439483587827023
12,SeasonalNaive,-0.5560749757885396,-0.5400226853935352,0.4994974136352539,25.518598079681396,0.23803377151489258,1,-0.39333210059171597,-0.17606981051034423,-1.253859670111198,-0.30921937869822486,-0.15838979313049256,-1.3001968999373699,-0.17253688574501572,-0.17772988617791982
