,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order,MAE,MAPE,MASE,MSE,RMSLE,RMSSE,SMAPE,WAPE
0,PatchTST,-0.46055673330779207,-0.46390973059574603,0.3247189521789551,0.27672719955444336,117.06387758255005,11,-0.3386769747991621,-0.15894124796058295,-1.1472558861280655,-0.2121125045951447,-0.13752144875248354,-1.1840990090396095,-0.15490388287357806,-0.15718046897152976
1,WeightedEnsemble,-0.46800777002109034,-0.4346753454601117,9.539977550506592,30.331783294677734,1.9578588008880615,13,-0.350325766487535,-0.16533617745667106,-1.2212747692784136,-0.2190312728001138,-0.14117914942419765,-1.2764715632825387,-0.16145158111149627,-0.16258668987454772
2,DeepAR,-0.47224293259372924,-0.4618182582340223,1.1861684322357178,0.7769088745117188,245.76747298240662,10,-0.3452146968598719,-0.15874715593684485,-1.18303226417848,-0.2230133873847255,-0.14176307860505727,-1.2472727701918296,-0.15930589397210748,-0.16021463514157205
3,ChronosFineTuned[bolt_small],-0.4743982469962207,-0.4387715499110717,0.9555563926696777,0.09184670448303223,68.23279523849487,8,-0.3529861394023985,-0.16459849610926316,-1.2311875891619664,-0.22505369675308723,-0.1429290912359806,-1.2984487066387602,-0.1623010629665844,-0.16382137275384698
4,TemporalFusionTransformer,-0.48174638309636675,-0.4541567649381435,0.16286396980285645,0.13502120971679688,182.5896236896515,9,-0.3590171628712136,-0.16752969178932461,-1.251511925728875,-0.23207957762643136,-0.14595451205368454,-1.3164081998425297,-0.16602367837504775,-0.16662037938182578
5,TiDE,-0.48667357566300745,-0.470584956252615,0.5139470100402832,0.337482213973999,153.65063047409058,12,-0.3690562555389824,-0.17629095243646317,-1.2900687157980808,-0.23685116924861702,-0.14877723966738268,-1.3447885831538582,-0.17115398915955973,-0.1712795366643788
6,NPTS,-0.5114018226667283,-0.4705291902401546,5.303660154342651,28.23547053337097,0.08381938934326172,4,-0.39833726851851853,-0.19416833547309792,-1.4010355509071366,-0.26153182422685184,-0.15696258477417424,-1.4249056077341946,-0.1840752687474369,-0.18486889671701953
7,ChronosZeroShot[bolt_base],-0.5492274747082758,-0.5608389124004118,1.2544853687286377,5.8129472732543945,0.01981043815612793,7,-0.39959408448139827,-0.18741979627591143,-1.3796682334533878,-0.3016508189744298,-0.1644701778340726,-1.4739505450923809,-0.1812144754503023,-0.185452186805085
8,RecursiveTabular,-0.5723745947111324,-0.5699357570998743,37.02742648124695,18.11659860610962,197.27793979644775,2,-0.42252205704814855,-0.1950653150440557,-1.4520395275726874,-0.327612676670733,-0.17709471608708335,-1.54442796303104,-0.19872328758124708,-0.1960930917049391
9,DynamicOptimizedTheta,-0.5737727332147546,-0.6286551498559841,0.34793949127197266,108.77775430679321,0.15366387367248535,5,-0.43086057896270064,-0.20391227024497638,-1.4570146200361163,-0.32921514938073004,-0.17365151400223597,-1.4902579215409102,-0.19650265800084454,-0.19996301166579827
10,DirectTabular,-0.5771377829704476,-0.512858600650607,1.7511425018310547,0.9508299827575684,179.4423749446869,3,-0.4454506021782204,-0.21833279207292872,-1.548490559045143,-0.3330880205320435,-0.17585800162557602,-1.57422232391935,-0.202773370935478,-0.20673426233225067
11,AutoETS,-0.5852572895867798,-0.631085342909394,2.6887192726135254,1.8160362243652344,0.15075016021728516,6,-0.43598316041791324,-0.20545580510873987,-1.4663642888825683,-0.3425260950144638,-0.17770318833355211,-1.5000348138262283,-0.19897888432702351,-0.20234040905442396
12,SeasonalNaive,-0.6209845701945848,-0.6351174675057082,0.20323419570922852,24.122631549835205,0.07901549339294434,1,-0.4567237654320987,-0.21319796114762093,-1.5322915205781893,-0.3856218364197531,-0.18328168857038496,-1.5703566437834486,-0.20560578711405667,-0.21196615354093992
