,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order,MAE,MAPE,MASE,MSE,RMSLE,RMSSE,SMAPE,WAPE
0,ChronosFineTuned[bolt_small],-0.6168795993628323,-0.638019311223995,0.9709317684173584,0.0903472900390625,70.16917681694031,8,-0.3857746631541334,-0.24645367113146316,-0.8931504988208973,-0.3805404401100485,-0.2063222573763953,-1.06971185309313,-0.23827235958033377,-0.24497151541351317
1,WeightedEnsemble,-0.6191286787399681,-0.6342184746997096,18.589752435684204,15.329724550247192,2.7900004386901855,13,-0.3866076267961551,-0.24897168893364796,-0.8930058799579365,-0.38332032083829864,-0.20762338929262886,-1.0670687001032795,-0.23852111848706778,-0.24550045726781242
2,DeepAR,-0.6320263781629403,-0.6745897556484959,1.8316242694854736,1.112060546875,234.44077110290527,10,-0.38914252863436777,-0.2415487334902319,-0.9055302156789049,-0.39945734269376404,-0.21235911612570005,-1.103398164532294,-0.2434700995495973,-0.24711015018972252
3,PatchTST,-0.6346682528616391,-0.673966413447646,0.6073269844055176,0.5604369640350342,66.7156093120575,11,-0.39820038691606346,-0.2521586282068795,-0.9346713170431848,-0.4028037911904455,-0.21180296437434512,-1.1136762348394416,-0.24878669654553467,-0.25286199830625183
4,TemporalFusionTransformer,-0.6531446639983016,-0.6665120837235236,0.3934476375579834,0.2968277931213379,360.6525909900665,9,-0.41189121790622407,-0.2628641227176723,-0.9477161706809711,-0.42659795210945434,-0.22331181947741666,-1.1201671652194845,-0.2574621084871932,-0.26155583938826693
5,TiDE,-0.6577708680795785,-0.6869272564865112,0.9784069061279297,0.838085412979126,602.8938798904419,12,-0.4174536501932221,-0.27311900969797753,-0.9607722053275056,-0.4326625148941623,-0.22405109396771508,-1.1239506422710777,-0.2585831089100385,-0.2650880502794382
6,ChronosZeroShot[bolt_base],-0.6680335003572319,-0.688610724796347,1.0057504177093506,2.229301929473877,0.007857799530029297,7,-0.4148550555059966,-0.2720634352890621,-0.9541533548262492,-0.4462687575995357,-0.22068436531600705,-1.112244072345927,-0.2541906187892291,-0.2634379116382159
7,RecursiveTabular,-0.6860245414539667,-0.6989644552249666,15.6390380859375,8.004927396774292,346.204464673996,2,-0.44168498678790713,-0.292250776586391,-1.0144275404784269,-0.4706296714771253,-0.23444028414503829,-1.173869165755957,-0.2734561613620932,-0.28047523822372067
8,DynamicOptimizedTheta,-0.7372372036938555,-0.7203386758283216,1.141167163848877,88.51392269134521,0.3417234420776367,5,-0.45526034986311703,-0.29777806749285995,-1.0268559070775007,-0.5435186945103354,-0.24264339593548526,-1.1835014057916815,-0.27124559733224896,-0.2890957558016055
9,AutoETS,-0.7461508826239162,-0.7225028992431685,12.773594379425049,12.093474388122559,0.331035852432251,6,-0.4596714937083105,-0.30209348000852076,-1.032392146723563,-0.5567411396404491,-0.24455635184549485,-1.1900679309440065,-0.2718705179591088,-0.29189688479133463
10,DirectTabular,-0.755187908639991,-0.8228313776925961,2.856048107147217,1.4505527019500732,434.59443616867065,3,-0.529501795947472,-0.37164401206113373,-1.2174959086388366,-0.5703087773560434,-0.25627354668204955,-1.3045429618600863,-0.3220233968021792,-0.33623996015415675
11,NPTS,-0.7835443047311619,-0.8554340509771218,5.341271877288818,13.388505935668945,0.29092836380004883,4,-0.5612654128527841,-0.4028631346330286,-1.310684272540508,-0.6139416774766399,-0.2692741066792541,-1.382971117224285,-0.3465530005204843,-0.35641023599521077
12,SeasonalNaive,-0.8492760663980363,-0.8907364575901471,0.6054897308349609,8.771315336227417,0.2881639003753662,1,-0.567121948893974,-0.37092033982691014,-1.2807297492727567,-0.7212698369565218,-0.2783705721001411,-1.3780587116490612,-0.33503553137913267,-0.3601292062804909
