,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order,MAE,MAPE,MASE,MSE,RMSLE,RMSSE,SMAPE,WAPE
0,ChronosFineTuned[bolt_small],-0.7080218093132337,-0.7645591840379988,1.0193448066711426,0.0959768295288086,71.01430988311768,8,-0.46172567171964035,-0.28987062377021,-1.0739349802471794,-0.501294882463185,-0.2369181334145236,-1.276532760601124,-0.28260728601154106,-0.28781782301127506
1,WeightedEnsemble,-0.7148375803126589,-0.7474348432714726,6.240602970123291,86.66592168807983,2.612912178039551,13,-0.47442821604926266,-0.3139157174202555,-1.111235540738751,-0.5109927662272571,-0.2377561981440284,-1.2920645477434496,-0.29061358997190057,-0.295735984984032
2,PatchTST,-0.732044201702274,-0.7765389742344245,0.515693187713623,0.4797971248626709,84.03880667686462,11,-0.47041479497535543,-0.29403242597666057,-1.111521199009488,-0.5358887132459197,-0.24229599658046483,-1.3162450142044197,-0.2886796086146291,-0.2932342091741287
3,DeepAR,-0.7433998635933288,-0.756304312237725,1.7396442890167236,1.0081877708435059,240.04025435447693,10,-0.5069972747073205,-0.3464821143241994,-1.1888043661805625,-0.5526433571905799,-0.2500409299533854,-1.3388187059105368,-0.3100587780011548,-0.31603798709185627
4,TemporalFusionTransformer,-0.7501352115647147,-0.8065882120491877,0.2546839714050293,0.18373584747314453,363.3510057926178,9,-0.4861140939183467,-0.2951840641160616,-1.1319121215149681,-0.5627028356292393,-0.2532935415340867,-1.3374040669100544,-0.30099814649809975,-0.30302040544029296
5,ChronosZeroShot[bolt_base],-0.7692487158577493,-0.9779518148963101,1.1983888149261475,3.1601948738098145,0.01491546630859375,7,-0.509516916835268,-0.33035625285802583,-1.1828065377924126,-0.5917435868487965,-0.2574651553825064,-1.3452268505983598,-0.3072678001930689,-0.31760861215442304
6,TiDE,-0.7788615052245776,-0.8430103375311324,0.7921524047851562,0.64259934425354,149.16624522209167,12,-0.5205144170034405,-0.3400786438235334,-1.208504898822358,-0.6066252443206949,-0.2620850034296302,-1.3760505316478486,-0.31610215561114696,-0.32446393069276824
7,DynamicOptimizedTheta,-0.8172368459012772,-0.9801027560030154,0.6846401691436768,83.70074677467346,0.2345869541168213,5,-0.5562430873486032,-0.3646447048924822,-1.2790838130541988,-0.6678760622986679,-0.27868271100002917,-1.41813056268908,-0.3298354586889902,-0.3467354844479085
8,RecursiveTabular,-0.8211058402154446,-0.8576292822470561,27.159860372543335,13.240992784500122,266.65963196754456,2,-0.5513920220759776,-0.3647656623935451,-1.256926242211113,-0.6742148008359113,-0.28265383501353997,-1.422810585833311,-0.3324487218710719,-0.3437115610848159
9,NPTS,-0.8232809350910361,-0.8537301936378652,8.06102204322815,15.57261347770691,0.1620016098022461,4,-0.5918772969768821,-0.41674940979526115,-1.3826262641843803,-0.6777914980843707,-0.28149935209716037,-1.492785001981819,-0.3603655674579975,-0.3689481558849132
10,AutoETS,-0.833790052167924,-0.9949334924823287,7.193604230880737,6.714979887008667,0.20941805839538574,6,-0.5717969604161206,-0.37716229576282806,-1.311555277667957,-0.6952058510941895,-0.2838642599261368,-1.4433316508054175,-0.33660946901594907,-0.3564310291400928
11,DirectTabular,-0.8533049482462809,-0.8843555065028121,2.2596726417541504,1.3812131881713867,249.09304523468018,3,-0.6044210608392759,-0.41092077684110456,-1.3962193046035885,-0.728129334701588,-0.28870268142983624,-1.5051088413547833,-0.36245786712867717,-0.3767673416663655
12,SeasonalNaive,-0.9311393478325355,-1.0237013667292967,0.5537412166595459,10.537609100341797,0.1690206527709961,1,-0.6401704208654416,-0.41894393516290945,-1.4526627012897133,-0.8670204850819996,-0.31488542334970665,-1.5744136582611594,-0.3771620462022022,-0.39905179238459404
