,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order,MAE,MAPE,MASE,MSE,RMSLE,RMSSE,SMAPE,WAPE
0,WeightedEnsemble,-0.542636982720533,-0.5446519542993192,14.69978952407837,24.079712390899658,2.2557711601257324,13,-0.35947851167645123,-0.46763859708986627,-0.9108964100456529,-0.29445489501604394,-0.2389574150480276,-0.9917869678655672,-0.38502424866543894,-0.39408563720664064
1,PatchTST,-0.5485535219140951,-0.5584389223989554,0.3846321105957031,0.603583812713623,75.86564373970032,11,-0.3550187536217069,-0.43662405077519933,-0.907374158302413,-0.3009109664043576,-0.23914977490100112,-0.9950958518144055,-0.3825264919191512,-0.3891965366409489
2,DeepAR,-0.5548528643391909,-0.5543709531750051,1.2542569637298584,1.7056798934936523,271.9285206794739,10,-0.3613515488831479,-0.4416804015691428,-0.9169954398082243,-0.30786170106540456,-0.24353406564365548,-1.01689669823663,-0.38730335480120653,-0.3961389923784713
3,ChronosFineTuned[bolt_small],-0.5553687863406817,-0.5591874831987064,0.9778578281402588,0.058512210845947266,72.90151071548462,8,-0.35640525435460857,-0.4249309603292123,-0.9062453455518314,-0.30843448884152175,-0.24294034233014794,-1.0124867687178998,-0.38243643042868847,-0.3907165162977714
4,TemporalFusionTransformer,-0.5707307078796771,-0.5754788502484876,0.20597267150878906,0.17266225814819336,183.4573049545288,9,-0.36979242709124344,-0.4308544044883175,-0.944805251385574,-0.32573354091683726,-0.2541949664384643,-1.0452716389736438,-0.3988726206841609,-0.4053924769656527
5,TiDE,-0.5786856707404803,-0.5760429115036311,0.5865070819854736,0.56900954246521,157.1165955066681,12,-0.3834752148046805,-0.4735739410364178,-0.9716048102429256,-0.33487710552035954,-0.2591442108175983,-1.0500989450558575,-0.411163690688873,-0.4203925115704089
6,NPTS,-0.5805888024985916,-0.5828227352240036,5.613522529602051,17.18652105331421,0.09670066833496094,4,-0.40418273907103824,-0.5650426187370694,-1.0045929305780084,-0.3370833575867486,-0.26161938194299,-1.0385729910820796,-0.42442716342064585,-0.44309355664100963
7,ChronosZeroShot[bolt_base],-0.5930578822691897,-0.6090577478354733,1.083846092224121,5.314623832702637,0.019409894943237305,7,-0.3991313370549288,-0.5043123150767693,-1.0167784442425476,-0.35171765172161606,-0.2673878173297533,-1.092619234842606,-0.4214103254150788,-0.4375558543371314
8,RecursiveTabular,-0.6314490664011437,-0.6608966836579689,36.79195547103882,17.26811456680298,171.97138571739197,2,-0.43465248398802403,-0.5748471501271275,-1.0724626207205912,-0.3987279234588761,-0.2852890100695477,-1.1002690305068132,-0.4483337447376346,-0.4764966348532107
9,DirectTabular,-0.6577382593927424,-0.6728190366090625,1.6276283264160156,1.0692949295043945,206.33777928352356,3,-0.45411437483619427,-0.6222870396725637,-1.0969644687284732,-0.4326196178689945,-0.293562758947036,-1.114715059006437,-0.45771142429399,-0.497832128928724
10,DynamicOptimizedTheta,-0.6580317251915484,-0.7155990995190059,0.26163673400878906,101.18485498428345,0.1579596996307373,5,-0.4505671476879076,-0.5799633283538291,-1.1374459070118776,-0.4330057513585655,-0.296150097752067,-1.2042078396202631,-0.4550897704839289,-0.49394340894785504
11,SeasonalNaive,-0.7519720748579167,-0.676991072739003,0.23715424537658691,10.86831021308899,0.09888029098510742,1,-0.5173203551912569,-0.6737533127874795,-1.2517446778601897,-0.5654620013661202,-0.32903628164112164,-1.2459927379666014,-0.50709713501122,-0.5671229717313508
12,AutoETS,-0.8580286151889996,-0.8859681605672656,6.462812423706055,4.525415420532227,0.14293313026428223,6,-0.6003582599148769,-0.8558709135360072,-1.4556721278394316,-0.7362131044831525,-0.36057845331886407,-1.446118836405552,-0.5208355656763461,-0.6581549653898909
