,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order,MAE,MAPE,MASE,MSE,RMSLE,RMSSE,SMAPE,WAPE
0,WeightedEnsemble,-0.16460248330028382,-0.15086446011149307,285.40607213974,245.2535502910614,3.3237669467926025,13,-0.09801622791244514,-0.10887873849700544,-0.24977902292893633,-0.027093977508620214,-0.06806027550754791,-0.2918950891718515,-0.11002782768759313,-0.10638486185376063
1,ChronosFineTuned[bolt_small],-0.16860445429615362,-0.15340888352641252,2.7379772663116455,2.3838531970977783,68.98672580718994,8,-0.10039889221631626,-0.11047492049166462,-0.25555453074877704,-0.028427462008503757,-0.06978181588743802,-0.2976544796535652,-0.11344771812749226,-0.10897095824014309
2,TemporalFusionTransformer,-0.17390588753405148,-0.15595545394457938,5.38405442237854,4.668615102767944,275.0452103614807,9,-0.10268121988201973,-0.11309038518954935,-0.2602459817921353,-0.030243257719006163,-0.0732728908311536,-0.30453125970404393,-0.11572212341158677,-0.11144815123759011
3,AutoETS,-0.17689413995363096,-0.16199284951129134,256.864271402359,202.8632402420044,6.670574903488159,6,-0.10680741078406521,-0.11770591873310782,-0.26961035352642027,-0.031291536749934776,-0.07287990675286726,-0.31002134165894596,-0.11753533621731158,-0.11592663667255775
4,DynamicOptimizedTheta,-0.17703861517234995,-0.16240442643410966,13.956815004348755,90.84117817878723,6.8053600788116455,5,-0.10594040178966788,-0.11527559660497906,-0.26849721445893054,-0.031342671262143414,-0.07282810440905402,-0.3111126720074719,-0.11677594270165352,-0.11498560237589697
5,ChronosZeroShot[bolt_base],-0.17726516956118316,-0.1634628338902634,4.862042188644409,7.553603172302246,0.004555702209472656,7,-0.10593098364277373,-0.11626049910060215,-0.2701894047592806,-0.03142294033955502,-0.07335682205578278,-0.3172659901162513,-0.11902937255416625,-0.11497538010681367
6,TiDE,-0.17865176774536798,-0.1563368547598506,8.20378041267395,8.332537412643433,617.3014998435974,12,-0.10217430418641257,-0.11290953606106577,-0.25910695611923884,-0.03191645411854491,-0.07353238939023334,-0.3128566258394121,-0.11339104724388747,-0.11089795503643818
7,DeepAR,-0.18424752286383256,-0.1663123719841327,7.432339668273926,5.970343589782715,242.7558765411377,10,-0.10458318677010044,-0.11205049209543472,-0.2637210923915862,-0.033947149681458504,-0.07418945447494188,-0.318781739281031,-0.11566724345744712,-0.11351250822161564
8,DirectTabular,-0.20295829833956575,-0.18750420865682982,3.5201098918914795,3.122634172439575,456.3521432876587,3,-0.11408538549782281,-0.13063813464813018,-0.2818669091020685,-0.041192070864892176,-0.07814451619047988,-0.3349853103193381,-0.12651352457538503,-0.12382600549125879
9,PatchTST,-0.2130867827721245,-0.19117786378681897,3.513254404067993,3.752594470977783,50.76859402656555,11,-0.11179966807737325,-0.11968848233648974,-0.28298797827580363,-0.04540597699217458,-0.08095602474039999,-0.3610032109468489,-0.12074997289098593,-0.12134513332151489
10,RecursiveTabular,-0.2201623757660766,-0.20240744821252563,3.5046119689941406,3.5000646114349365,328.0517747402191,2,-0.12856723645706425,-0.14608262898765004,-0.3210067364821395,-0.04847147170296311,-0.08887941028138406,-0.37462790297722187,-0.14549625935022154,-0.13954431812681406
11,NPTS,-0.5947453968050764,-0.5636585068342839,8.683873176574707,23.882670164108276,6.322024583816528,4,-0.40633531065998774,-0.5632916982847901,-0.9836957751045737,-0.35372208702082786,-0.2616319240165801,-0.9918856595856014,-0.4231590714538681,-0.4410282543160289
12,SeasonalNaive,-0.697229439237508,-0.6529692569440807,7.394613027572632,15.174541711807251,6.165754795074463,1,-0.4470265401177608,-0.5090524750101905,-1.057394522979161,-0.48612889093944983,-0.2935664148019719,-1.0995489517098285,-0.44036536821796607,-0.4851937044330418
