,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order,MAE,MAPE,MASE,MSE,RMSLE,RMSSE,SMAPE,WAPE
0,WeightedEnsemble,-0.5219209343566027,-0.554894289879523,17.713385820388794,23.867385864257812,2.2986185550689697,13,-0.34806481527551186,-0.4750087693293042,-0.8702847313492647,-0.2724014617196692,-0.2337893267816161,-0.9189705725367384,-0.3785887701427717,-0.38613169631381283
1,DeepAR,-0.5245650015952273,-0.5733221862529542,1.4164934158325195,1.420189619064331,272.21186208724976,10,-0.3503401370323216,-0.47471419194448095,-0.8758996961894917,-0.2751684408986008,-0.23590423425258944,-0.9230851102179408,-0.37812495749929415,-0.3886558636845401
2,PatchTST,-0.5298293246918765,-0.5721648404899404,0.398240327835083,0.4548218250274658,83.16251707077026,11,-0.34809200323147305,-0.450202405881797,-0.8897054356096002,-0.28071911330344984,-0.23568007709917926,-0.9443228426962917,-0.3825736383787516,-0.38616185774092027
3,ChronosFineTuned[bolt_small],-0.5340541875944133,-0.5726648109169687,1.0333163738250732,0.09188342094421387,71.6842131614685,8,-0.3417472540185108,-0.41795210830899926,-0.8603217661409328,-0.28521387528712877,-0.2371785591940589,-0.9430253762784658,-0.37432745961703395,-0.37912320094836965
4,TiDE,-0.5548088134424252,-0.5886548689320839,0.6346497535705566,0.7178285121917725,144.76517534255981,12,-0.3709505078645113,-0.4831053030239368,-0.9321992098659457,-0.3078128194733918,-0.2507925555699413,-0.9818321894713804,-0.4030584574451566,-0.4115203334666716
5,TemporalFusionTransformer,-0.554964697655323,-0.5806224880392079,0.21544933319091797,0.15353083610534668,236.22661781311035,9,-0.3569669272605367,-0.4224290450180177,-0.8968808052715792,-0.307985815643664,-0.24798889746221608,-0.9757741847306636,-0.39016261466034174,-0.3960074075339552
6,NPTS,-0.5725697708163185,-0.6003323533782152,6.890569686889648,15.482608318328857,0.1286606788635254,4,-0.40170263257575756,-0.5787022201615386,-1.0004619844030187,-0.3278361424526515,-0.2609198451920461,-1.011878996572934,-0.4273584691364592,-0.44563573255005284
7,ChronosZeroShot[bolt_base],-0.5981778325164621,-0.616310984481587,0.9951169490814209,2.2710013389587402,0.007943868637084961,7,-0.394990623554196,-0.5085464405370742,-0.9866588694363293,-0.3578167193140926,-0.26810822151225966,-1.0540591911550765,-0.41547344950713605,-0.4381896497648173
8,RecursiveTabular,-0.615261767053524,-0.6416019964661087,30.017730712890625,15.310609579086304,229.61255955696106,2,-0.41334990414171807,-0.5426269507385383,-1.0389423890614558,-0.37854704199782474,-0.2825870544387719,-1.0870691278676863,-0.44364780114810076,-0.45855683382146994
9,DirectTabular,-0.6528615132758209,-0.6504153763221266,2.3130440711975098,1.138939380645752,280.03161334991455,3,-0.4501255259808304,-0.6374568650112246,-1.0802180433870205,-0.42622815551679477,-0.29193416434231867,-1.0819220059221133,-0.45423113771739887,-0.499354503165013
10,DynamicOptimizedTheta,-0.6699321399474257,-0.7190042766013859,0.4131441116333008,85.53657245635986,0.19718432426452637,5,-0.45070415819041953,-0.5811659331086281,-1.109366619200578,-0.4488090721345372,-0.30011064215265876,-1.1341409967051626,-0.45958643021422774,-0.49999641877045453
11,SeasonalNaive,-0.7824732826948874,-0.7676795886029377,0.2531547546386719,9.861544370651245,0.11673378944396973,1,-0.5243844696969697,-0.680651913340542,-1.2981380910946725,-0.6122644381313131,-0.3374329074558291,-1.2954767899525677,-0.5178892059476427,-0.5817349410753718
12,AutoETS,-0.8270156811933772,-0.9230170431872826,7.750455141067505,6.264351844787598,0.18498539924621582,6,-0.5619009264134157,-0.8060789784031456,-1.3496096487810894,-0.6839549369397457,-0.34889027822926405,-1.3370144602405964,-0.5003754880633215,-0.623354468346861
