,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order,MAE,MAPE,MASE,MSE,RMSLE,RMSSE,SMAPE,WAPE
0,WeightedEnsemble,-0.11784961531827633,-0.10256220435279728,1266.9910674095154,716.6107709407806,4.101178169250488,13,-0.0693924454568275,-0.07586844630596201,-0.17648154399834987,-0.013888531830665709,-0.04620563208730468,-0.20170475674577232,-0.07768877845448383,-0.07503297826039422
1,AutoETS,-0.11968636462629162,-0.10639575393978103,1048.4003908634186,622.7411577701569,23.32608985900879,6,-0.07221401463334062,-0.078902519957516,-0.1828518031360413,-0.01432482587745763,-0.047620454656853314,-0.20546356630666515,-0.08033805892707185,-0.07808389738116829
2,DynamicOptimizedTheta,-0.12026589769903644,-0.1065881900863002,39.039759397506714,115.53069734573364,23.969865798950195,5,-0.0722906068017517,-0.07848768510919017,-0.18359151570229695,-0.014463886149355098,-0.04781184587938509,-0.20699050999802002,-0.08041740255242628,-0.07816671530853014
3,ChronosFineTuned[bolt_small],-0.12149814403776601,-0.10544142736205384,13.03628659248352,6.0670483112335205,76.04172110557556,8,-0.07139216396041125,-0.0778588624840435,-0.18107481744554532,-0.014761799004621736,-0.04761619741578588,-0.20668821045059627,-0.080629076417055,-0.07719524295676751
4,TiDE,-0.1269620264582694,-0.10505951595764286,59.710333585739136,24.313111782073975,661.461000919342,12,-0.07084402939678017,-0.07617931025825272,-0.18050597903790364,-0.0161193561623903,-0.0498411961345586,-0.21621930281459964,-0.07894428343564523,-0.07660255352889182
5,ChronosZeroShot[bolt_base],-0.12856488762181187,-0.11068530835645687,12.58445930480957,7.33426308631897,0.0043218135833740234,7,-0.07601338387391511,-0.08267724056485594,-0.19173981590216035,-0.016528930329209116,-0.05048069614690152,-0.21884157067807966,-0.08568097266192153,-0.08219209659153619
6,TemporalFusionTransformer,-0.1301421876030521,-0.10673227455886677,16.968276739120483,15.270288228988647,232.02810287475586,9,-0.07270337257953446,-0.07955915749623611,-0.18389448365404507,-0.01693698899410801,-0.052238947950074534,-0.21555673619147114,-0.08182319963111225,-0.07861303256146912
7,DeepAR,-0.14223378465180592,-0.11668428645316939,18.529173374176025,16.949978590011597,280.21510076522827,10,-0.08116063022979733,-0.0893970256381947,-0.20429271962242784,-0.0202304494963763,-0.054671478251857995,-0.237629243024229,-0.09006216879721655,-0.08775773448452681
8,DirectTabular,-0.156687715635175,-0.13322976305944584,26.46226668357849,7.693531036376953,512.5039389133453,3,-0.07683108029713799,-0.08307000852871589,-0.191486209486294,-0.024551040230969465,-0.052506967211151154,-0.24077454423164918,-0.08353038945534,-0.08307625908996631
9,RecursiveTabular,-0.16313894094544412,-0.14487580566271968,14.298675298690796,4.829223155975342,337.97341084480286,2,-0.0898741952348353,-0.10066766612430067,-0.2256949965775709,-0.026614314052801104,-0.06067296452291193,-0.2712079093817185,-0.10134982617477598,-0.09717957758703441
10,PatchTST,-0.1869709753938739,-0.16031246770329827,29.214874029159546,10.648054122924805,65.03046011924744,11,-0.08157213733956632,-0.08222695256035695,-0.20485565342960027,-0.0349581456397366,-0.06347126087878745,-0.29433699522156764,-0.08590633912516756,-0.08820269075920521
11,NPTS,-0.6012271840028567,-0.5650818851398763,89.81358003616333,33.191370725631714,22.809988260269165,4,-0.4084863675920285,-0.562838657644605,-0.9863532431030219,-0.3614741267840049,-0.2625186209035147,-0.9921734487703231,-0.42379964722668007,-0.44168999287204735
12,SeasonalNaive,-0.7053775472170952,-0.6540379420363802,67.87774395942688,27.171659469604492,22.38032817840576,1,-0.4503006700896354,-0.5102014234852226,-1.060853212292617,-0.49755748411800543,-0.29537332089048507,-1.0988533050947178,-0.44199479971419764,-0.4869031515901452
