,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order,MAE,MAPE,MASE,MSE,RMSLE,RMSSE,SMAPE,WAPE
0,ChronosFineTuned[bolt_small],-0.32496321731357064,-0.3217132291984946,1.523341417312622,0.5945487022399902,71.86548972129822,8,-0.18911617038289108,-0.21178585550164972,-0.4794608435735096,-0.10560109260678693,-0.13947164103784418,-0.5866580812571467,-0.2097553133071428,-0.20837084253030505
1,WeightedEnsemble,-0.32558315003203164,-0.3180837850764478,85.47871541976929,75.03992772102356,3.039064407348633,13,-0.19203713458952026,-0.223093636763598,-0.48396384566203643,-0.10600438758478041,-0.13938971534792258,-0.5852177281455638,-0.21261013283819377,-0.21158920176158552
2,TiDE,-0.34642158244502663,-0.3275396099461325,2.318726062774658,2.2298483848571777,607.8780696392059,12,-0.19966770881634688,-0.2224434248975884,-0.5031273769797064,-0.12000791278371639,-0.14959250517577044,-0.614524027085232,-0.21967563207565877,-0.21999667520721816
3,ChronosZeroShot[bolt_base],-0.34857392530827536,-0.34528707620691196,1.702744483947754,2.1868627071380615,0.006788730621337891,7,-0.20665959533117476,-0.23478531788312398,-0.521083195875204,-0.12150378140481911,-0.14999173345902125,-0.6225760324161612,-0.2261036829496411,-0.22770043359562703
4,PatchTST,-0.35237402413026164,-0.33482565385619495,1.1624865531921387,1.1238293647766113,106.74721097946167,11,-0.19932467526161624,-0.22088457722324445,-0.5040583915052604,-0.1241674528817542,-0.14783705615543077,-0.6209201805605098,-0.2191360995799728,-0.2196187160370918
5,TemporalFusionTransformer,-0.3556246484127104,-0.3427571717375685,1.3697741031646729,1.3208320140838623,117.4037094116211,9,-0.207995244809161,-0.2277763692444911,-0.523718724297348,-0.1264688905586639,-0.15438882069388254,-0.6274565283086389,-0.2315633679977814,-0.22917207087809568
6,DeepAR,-0.35591446359607487,-0.3342611247878276,2.9015815258026123,2.0249056816101074,240.37547183036804,10,-0.20005909084053003,-0.21897133973337957,-0.49991331328770666,-0.1266751053968817,-0.14824913253881036,-0.62241150951638,-0.2177133217895612,-0.22042790539745064
7,DynamicOptimizedTheta,-0.3562797346162967,-0.3509421641443572,3.446604013442993,82.70877265930176,1.5429811477661133,5,-0.21086281284017205,-0.23489148626932624,-0.5252350278527903,-0.1269352492982588,-0.15179344267004496,-0.6217461310739348,-0.2264823282754872,-0.23233159745599213
8,AutoETS,-0.36705088313120227,-0.3540628024284192,74.00106382369995,56.04684519767761,1.4662055969238281,6,-0.22020332980635787,-0.25337330552371484,-0.5449365741575221,-0.1347263508073955,-0.15438372644709353,-0.6340493384221334,-0.23226095064229202,-0.24262310973636575
9,RecursiveTabular,-0.4084795435788237,-0.3864600174309644,5.166987180709839,2.787421941757202,319.60272789001465,2,-0.24823236864549136,-0.2904066710760088,-0.6028880559579677,-0.16685553752236412,-0.17686198164274652,-0.6857210259084794,-0.2718124396379826,-0.27350589689518007
10,DirectTabular,-0.48115960813448305,-0.4649144972808131,2.379967212677002,1.7652971744537354,312.3593611717224,3,-0.29700646296135397,-0.4051144075361393,-0.7120743811928776,-0.2315145685001293,-0.2119318081716127,-0.7959662507279093,-0.3117910553409249,-0.32724587643089237
11,NPTS,-0.5738181966984659,-0.5598905746424538,5.246020078659058,14.403388261795044,1.203927755355835,4,-0.3978064764245403,-0.5640668844260889,-0.9761722248691077,-0.3292673228622793,-0.2571853474308766,-0.9896102137198177,-0.4206363105246461,-0.438308741599245
12,SeasonalNaive,-0.6728007946927225,-0.6482454192756549,2.670912027359009,11.128683805465698,1.1894338130950928,1,-0.4351561077735299,-0.5060969232427708,-1.0470788418601515,-0.4526609093391589,-0.28654877268425405,-1.0980562354406087,-0.4347470555474568,-0.47946108799367754
