,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order,MAE,MAPE,MASE,MSE,RMSLE,RMSSE,SMAPE,WAPE
0,WeightedEnsemble,-0.45669632759798506,-0.4580284773886166,34.01983594894409,31.038336515426636,2.75669527053833,13,-0.28710693510298807,-0.35343404767975845,-0.7262119597331517,-0.20857153564148612,-0.20103611700359578,-0.8209273710939039,-0.3125381020421519,-0.3173488031126934
1,ChronosFineTuned[bolt_small],-0.4602695164071517,-0.4629374572575813,1.0863323211669922,0.10291767120361328,70.07181859016418,8,-0.2848910169774128,-0.33548664876704054,-0.7246543242472644,-0.21184802773367328,-0.20280563886530348,-0.8309893152557037,-0.3119741267599807,-0.3148994754268443
2,DeepAR,-0.47348089776681296,-0.46717190954006904,1.8871064186096191,1.1588661670684814,238.52241110801697,10,-0.29644656639664424,-0.3687613920372604,-0.7503074593395704,-0.22418416055006718,-0.2072485636363428,-0.8451074348287387,-0.3215342408163098,-0.327672206869877
3,PatchTST,-0.4835151175489175,-0.4775831535777883,0.6291871070861816,0.5850944519042969,98.22742128372192,11,-0.29224669534296116,-0.3336766386058071,-0.74303582777009,-0.23378686889834352,-0.20999035318467513,-0.8593595093074383,-0.3170239135986796,-0.32302995031262643
4,TemporalFusionTransformer,-0.4910419572768925,-0.4909382507372068,0.4919464588165283,0.371135950088501,212.50692653656006,9,-0.30842256351140745,-0.3440691608322764,-0.7854835434041029,-0.2411222038063215,-0.22217411996664743,-0.8847292548450609,-0.3436609569341793,-0.34090967307419523
5,ChronosZeroShot[bolt_base],-0.4974935699285061,-0.5067350703781971,1.1181416511535645,2.251178026199341,0.014148473739624023,7,-0.31925000152297833,-0.3945830230797945,-0.8050035759760791,-0.2474998521202094,-0.22291376614693312,-0.8872958117878159,-0.3419386197381294,-0.3528775988664313
6,RecursiveTabular,-0.5150578093779894,-0.511420038346467,12.132035493850708,6.0701985359191895,333.3772659301758,2,-0.33096156476946126,-0.403761200249069,-0.819797948718225,-0.2652845470012533,-0.2323505768205264,-0.8953399795549384,-0.3599283442424111,-0.3658227775592301
7,TiDE,-0.5291944118189518,-0.5169792363189653,1.0989186763763428,0.9236822128295898,135.17816042900085,12,-0.332012585411535,-0.3709794180199676,-0.8482344602614937,-0.2800467255004064,-0.23711759993125744,-0.9548341529212805,-0.36670327670699787,-0.3669845054801847
8,NPTS,-0.5697385148552127,-0.5716513411700026,4.692851781845093,13.600019693374634,0.37035369873046875,4,-0.39693957203134417,-0.5669768182651596,-0.991124302798257,-0.3246019753094233,-0.2578755291487635,-1.0106361713470178,-0.4218761426515745,-0.43875045389281797
9,DynamicOptimizedTheta,-0.5709528910335288,-0.5432035209826658,1.1007201671600342,78.162912607193,0.45679712295532227,5,-0.3479009539427695,-0.4146722735400482,-0.8545401543524457,-0.32598720377954454,-0.2426795093801372,-0.9455962695940058,-0.353845530738062,-0.3845464453719953
10,DirectTabular,-0.5965155491515921,-0.579496720562259,2.604835033416748,1.4534173011779785,318.3854331970215,3,-0.4025328539645119,-0.5634202631888166,-0.9733782889384042,-0.3558308003796255,-0.2658983223879985,-1.0091425136258976,-0.41086684581908023,-0.4449328936389213
11,AutoETS,-0.6116780928657669,-0.6077167538628551,26.342520713806152,16.176532983779907,0.4456932544708252,6,-0.381617939630333,-0.4864781267318066,-0.9315754487450705,-0.37415008929190174,-0.25557592778328386,-1.002684564405373,-0.37065289657015027,-0.42181494621359944
12,SeasonalNaive,-0.6849092737590089,-0.68755594508159,0.8320062160491943,10.99407696723938,0.3686561584472656,1,-0.452804902551738,-0.5482679362524657,-1.1105000884684415,-0.46910071328109304,-0.2975055077034631,-1.1460091649399684,-0.45674777673751027,-0.5005002537358016
