,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order,MAE,MAPE,MASE,MSE,RMSLE,RMSSE,SMAPE,WAPE
0,WeightedEnsemble,-0.49465817368109527,-0.5036889486950756,27.602664947509766,27.969014644622803,2.539111614227295,13,-0.3164928214534865,-0.4122755053850688,-0.7867188431699107,-0.24468670878951662,-0.21824235437709966,-0.8654849947893641,-0.3445323939749736,-0.3494696393481824
1,ChronosFineTuned[bolt_small],-0.501475726170612,-0.5132003468088265,1.8167788982391357,0.09877395629882812,69.92789816856384,8,-0.31038810440449704,-0.3698932561893236,-0.7750638924337026,-0.2514779039383426,-0.21986581206464603,-0.8801400845617035,-0.3384392683747272,-0.3427288442311387
2,PatchTST,-0.5081026588898628,-0.5181211426758194,0.5456428527832031,0.5183441638946533,98.39717125892639,11,-0.3158739825001386,-0.3826990797146892,-0.7951293202924231,-0.25816831197094836,-0.22186789712422267,-0.8905698428111802,-0.3442612426142405,-0.34878632076658583
3,DeepAR,-0.5176251018758047,-0.5250951796890516,1.8363943099975586,0.9592421054840088,236.46159052848816,10,-0.3403756953751919,-0.4646409259562406,-0.8599721982097177,-0.26793574609193715,-0.23233891288877936,-0.9209125628249095,-0.3688252719733877,-0.37584097787550236
4,TemporalFusionTransformer,-0.5284521350004453,-0.5426056435924238,0.3722853660583496,0.2761647701263428,286.64047408103943,9,-0.33269107389522895,-0.38785674490209654,-0.8350115711369399,-0.2792616589865289,-0.2363255318514472,-0.9302850951412974,-0.3650454983120392,-0.36735566094225675
5,ChronosZeroShot[bolt_base],-0.5418676082521003,-0.5748751066493696,0.9947652816772461,2.419313430786133,0.011992692947387695,7,-0.35142496109625,-0.44110114230285685,-0.8676157820757857,-0.2936205048728517,-0.24091088498384503,-0.9336737134785837,-0.3708232989820263,-0.38804151654449043
6,RecursiveTabular,-0.5540699701646761,-0.557328454631041,15.72851824760437,8.00001835823059,334.8183591365814,2,-0.360068131126339,-0.44429051798285185,-0.8811431205507425,-0.3069935318382851,-0.25020696815292826,-0.940088417316875,-0.3898012260760199,-0.3975852575347869
7,TiDE,-0.5547828958204463,-0.5498826462134143,0.8986282348632812,0.7602980136871338,138.0912890434265,12,-0.3589358468320136,-0.4457857569084211,-0.8971886832930439,-0.3077840614949201,-0.24861519983266311,-0.9654219744234319,-0.3867923995326539,-0.3963349954209094
8,NPTS,-0.5714613983304087,-0.5739544074908153,6.625450372695923,14.25121808052063,0.3052048683166504,4,-0.399295687134503,-0.5734767839441323,-0.9921266556738552,-0.326568129781746,-0.2591115489866386,-1.0061307760376523,-0.4250190228026762,-0.4409001099466872
9,DirectTabular,-0.617654433250972,-0.5983728884021121,2.226533889770508,1.348555326461792,351.1797640323639,3,-0.41793834365115395,-0.5924610121875953,-1.0000393981237732,-0.3814969989145794,-0.2751758190200575,-1.0231324014130874,-0.42459069121643617,-0.461485229127103
10,DynamicOptimizedTheta,-0.6182257182388932,-0.6249832253195237,0.8186383247375488,82.7895028591156,0.3121671676635742,5,-0.38089934178230533,-0.4564727602240164,-0.9093338168821911,-0.3822030386919953,-0.26134858220900764,-0.9769527282808522,-0.3792855676260097,-0.42058696620449354
11,AutoETS,-0.684099959426427,-0.6894670181576386,16.764642477035522,12.141436338424683,0.3349037170410156,6,-0.4312777135637486,-0.5599973344688599,-1.0130698471112862,-0.4679927544872391,-0.2831246358729946,-1.0574078942084884,-0.40440580536444093,-0.47621448829664015
12,SeasonalNaive,-0.7259770121570318,-0.7136494194933471,0.6704401969909668,9.520447969436646,0.26127076148986816,1,-0.47100407268170424,-0.5784813157783191,-1.1478618183048903,-0.5270426221804512,-0.30886868387563354,-1.1753003776041144,-0.4687984958561976,-0.5200801163693726
