,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order,MAE,MAPE,MASE,MSE,RMSLE,RMSSE,SMAPE,WAPE
0,WeightedEnsemble,-0.23434460949919017,-0.22070620760575094,130.60642623901367,136.25394296646118,3.159621000289917,13,-0.13598801505822067,-0.1521347232275814,-0.3460468446923944,-0.05491739600132793,-0.09744185098472066,-0.41800623802624187,-0.15183630110465293,-0.14830652150132184
1,ChronosFineTuned[bolt_small],-0.23742305003882383,-0.22349372006549179,1.9127633571624756,0.8895556926727295,71.23846983909607,8,-0.1379094477863014,-0.1519668132932236,-0.35084031918449,-0.05636970468973784,-0.09879503024310832,-0.4231748676701011,-0.1542787511801909,-0.15040200766661702
2,TemporalFusionTransformer,-0.24296154892914537,-0.22692670325288977,2.753605842590332,2.7792723178863525,276.36353516578674,9,-0.14277345525309446,-0.15787324257078802,-0.3635871765124259,-0.0590303142580495,-0.10335607547648833,-0.435672759433009,-0.1608740969266661,-0.15570662239790561
3,DeepAR,-0.24769881192297066,-0.22916093966927928,4.471085786819458,3.3443009853363037,241.18315386772156,10,-0.14165141130926273,-0.15681178093034615,-0.3600431462260552,-0.06135470142805119,-0.10250885655724007,-0.43829352983650294,-0.1574030278426442,-0.15448293783857098
4,TiDE,-0.2508139854308583,-0.22685167515729596,4.180273532867432,4.0933310985565186,599.0196607112885,12,-0.14173992967242854,-0.15757164816075292,-0.3597123292587738,-0.0629076552877108,-0.10452293562925855,-0.44188905760036984,-0.15675189231970887,-0.15457947465855834
5,ChronosZeroShot[bolt_base],-0.2532261246164478,-0.24106853365450998,2.791475296020508,3.908705711364746,0.004330873489379883,7,-0.14781307139456576,-0.16347271518453635,-0.37633164135156616,-0.06412347018826474,-0.10497767761801646,-0.4548750397865911,-0.164012507947619,-0.16120275335711945
6,DynamicOptimizedTheta,-0.25508026437073555,-0.239184033571611,7.662078619003296,86.87248826026917,3.0048458576202393,5,-0.15008532989617432,-0.16390633806346874,-0.37797872921018577,-0.06506594127144434,-0.10501733335050908,-0.44673314937524927,-0.16359121437987273,-0.16368084493144747
7,AutoETS,-0.25814876714054846,-0.23937665449808262,107.11865782737732,106.7036828994751,2.9262123107910156,6,-0.15356772075276745,-0.17077820687335382,-0.3854604040968659,-0.06664078597618513,-0.10588456581176016,-0.4519266490247274,-0.16597682811036443,-0.16747868898577992
8,PatchTST,-0.26164199138994537,-0.24258623345726876,1.9498646259307861,2.5895614624023438,117.60308814048767,11,-0.1434749845984487,-0.1565646985406956,-0.3633183169716204,-0.06845653165849626,-0.10589217387854162,-0.45732498929712084,-0.15696498344801132,-0.15647169994460006
9,DirectTabular,-0.2821285486943068,-0.27211701572484476,2.9014930725097656,2.234365463256836,327.54179215431213,3,-0.16786140625266577,-0.20176027594048326,-0.40992526827858855,-0.07959651798835585,-0.11654399529957933,-0.47772858140787916,-0.1844392470875139,-0.18306717136061446
10,RecursiveTabular,-0.29769955091868217,-0.2845210006750309,3.5930933952331543,2.2840449810028076,336.76687264442444,2,-0.17648949588069668,-0.20217924085693176,-0.4330574621054955,-0.08862502261718504,-0.12450249295065115,-0.5036314437135946,-0.19726420003511294,-0.1924768385242028
11,NPTS,-0.5882639267761629,-0.5648747171201868,7.254245758056641,16.209434509277344,2.851170539855957,4,-0.4036963467878463,-0.5635051550224613,-0.9823113393284265,-0.3460544475461107,-0.26033146578917726,-0.9963050582541125,-0.42246321942872084,-0.4402652756514189
12,SeasonalNaive,-0.6889923937010628,-0.6531395607008296,4.514105796813965,11.838263988494873,2.806424140930176,1,-0.4432036888532478,-0.5080074108402474,-1.0553135379648682,-0.47471051857792035,-0.2915054942406465,-1.1047217977784851,-0.43891228892774875,-0.48335139962325585
